feature,timepoint,context,response,model,R^2,num_observations,set,se_lower,se_upper
topo,0,C,ACTIVITY,SVR,0.5366284471976666,300,TRAIN,0.52963879311984,0.5436181012754931
topo,0,C,ACTIVITY,MLP,0.4828060745763541,300,TRAIN,0.47211990023720185,0.49349224891550636
topo,0,C,ACTIVITY,MLR,0.33054279042769324,350,TRAIN,0.32349234574281593,0.33759323511257056
topo,0,C,ACTIVITY,RF,0.4122259933369471,350,TRAIN,0.4067162387807485,0.4177357478931457
topo,0,C,ACTIVITY,SVR,0.5316602614275496,350,TRAIN,0.5261699697155406,0.5371505531395586
topo,0,C,ACTIVITY,MLP,0.4833776948471798,350,TRAIN,0.47089484289796774,0.49586054679639185
topo,0,C,ACTIVITY,MLR,0.32048453877437555,400,TRAIN,0.3149343396197567,0.3260347379289944
topo,0,C,ACTIVITY,RF,0.4161072938587585,400,TRAIN,0.41015034639020237,0.4220642413273146
topo,0,C,ACTIVITY,SVR,0.515155640913009,400,TRAIN,0.5096645658551788,0.5206467159708392
topo,0,C,ACTIVITY,MLP,0.5153063286134772,400,TRAIN,0.505291321977339,0.5253213352496156
topo,0,C,ACTIVITY,MLR,0.312857535851917,450,TRAIN,0.3074355551806217,0.3182795165232123
topo,0,C,ACTIVITY,RF,0.3870393719248074,450,TRAIN,0.3819995872273741,0.39207915662224074
topo,0,C,ACTIVITY,SVR,0.5017572903028615,450,TRAIN,0.49724889612619555,0.5062656844795275
topo,0,C,ACTIVITY,MLP,0.503997925330878,450,TRAIN,0.4949552142031743,0.5130406364585816
topo,0,C,ACTIVITY,MLR,0.3117207881455239,500,TRAIN,0.30672001455588976,0.31672156173515803
topo,0,C,ACTIVITY,RF,0.3777422672728365,500,TRAIN,0.3735803371152002,0.38190419743047277
topo,0,C,ACTIVITY,SVR,0.503741316100798,500,TRAIN,0.49930337299186395,0.508179259209732
topo,0,C,ACTIVITY,MLP,0.5332194787428547,500,TRAIN,0.5229171829129312,0.5435217745727782
topo,0,C,GROWTH,MLR,0.7496262630734665,50,TRAIN,0.7342232150714827,0.7650293110754502
topo,0,C,GROWTH,RF,0.9268232925398766,50,TRAIN,0.9235039403970839,0.9301426446826693
topo,0,C,GROWTH,SVR,0.6594463607070457,50,TRAIN,0.6471125210487529,0.6717802003653384
topo,0,C,GROWTH,MLP,-1.0333350008995268e-08,50,TRAIN,-4.2475718960868443e-08,2.1809018942877908e-08
topo,0,C,GROWTH,MLR,0.523924774243824,100,TRAIN,0.5028510266840289,0.5449985218036191
topo,0,C,GROWTH,RF,0.7774416370414087,100,TRAIN,0.770705255377228,0.7841780187055893
topo,0,C,GROWTH,SVR,0.5814017573804799,100,TRAIN,0.5686708149449378,0.5941326998160221
topo,0,C,GROWTH,MLP,1.0850374384159996e-08,100,TRAIN,-2.7105301226020144e-08,4.8806049994340136e-08
topo,0,C,GROWTH,MLR,0.4290443814291968,150,TRAIN,0.41846665849345843,0.4396221043649352
topo,0,C,GROWTH,RF,0.7068619785744129,150,TRAIN,0.7009324550023543,0.7127915021464715
topo,0,C,GROWTH,SVR,0.5872549774946765,150,TRAIN,0.5764052467918981,0.5981047081974549
topo,0,C,GROWTH,MLP,0.08354359633869664,150,TRAIN,0.06107693991943185,0.10601025275796143
topo,0,C,GROWTH,MLR,0.4175220939469754,200,TRAIN,0.4076129465049371,0.4274312413890137
topo,0,C,GROWTH,RF,0.6199716884674884,200,TRAIN,0.6125734455939291,0.6273699313410477
topo,0,C,GROWTH,SVR,0.5526753647906832,200,TRAIN,0.5398781598134207,0.5654725697679458
topo,0,C,GROWTH,MLP,0.25735727172325523,200,TRAIN,0.23735487804415925,0.27735966540235124
topo,0,C,GROWTH,MLR,0.3753475358838208,250,TRAIN,0.3674734294972397,0.3832216422704019
topo,0,C,GROWTH,RF,0.5870773229695397,250,TRAIN,0.5792197884759153,0.5949348574631642
topo,0,C,GROWTH,SVR,0.5281109296993036,250,TRAIN,0.5190469778180893,0.537174881580518
topo,0,C,GROWTH,MLP,0.2504019528814053,250,TRAIN,0.2306102852530889,0.27019362050972173
topo,0,C,GROWTH,MLR,0.3822138966312908,300,TRAIN,0.37427876762672535,0.39014902563585624
topo,0,C,GROWTH,RF,0.5573410796119894,300,TRAIN,0.5515653621330674,0.5631167970909114
topo,0,C,GROWTH,SVR,0.5220384936063689,300,TRAIN,0.5132392202452114,0.5308377669675264
topo,0,C,GROWTH,MLP,0.2922938480322568,300,TRAIN,0.2789098560612998,0.30567784000321374
topo,0,C,GROWTH,MLR,0.33944235520445337,350,TRAIN,0.3325225621003086,0.34636214830859813
topo,0,C,GROWTH,RF,0.5107467366502542,350,TRAIN,0.5059173013481671,0.5155761719523412
topo,0,C,GROWTH,SVR,0.5029654214205697,350,TRAIN,0.49626931027818183,0.5096615325629575
topo,0,C,GROWTH,MLP,0.3337297638023118,350,TRAIN,0.32722434908148595,0.3402351785231376
topo,0,C,GROWTH,MLR,0.3513197930518465,400,TRAIN,0.3440522505990433,0.3585873355046497
topo,0,C,GROWTH,RF,0.5144191382847311,400,TRAIN,0.5090233118753225,0.5198149646941397
topo,0,C,GROWTH,SVR,0.5093482497425736,400,TRAIN,0.5038903489716136,0.5148061505135337
topo,0,C,GROWTH,MLP,0.3291557847257779,400,TRAIN,0.3225177775613144,0.3357937918902414
topo,0,C,GROWTH,MLR,0.3472723041951528,450,TRAIN,0.3426793726981191,0.35186523569218653
topo,0,C,GROWTH,RF,0.4806240095895789,450,TRAIN,0.47656954537333124,0.48467847380582657
topo,0,C,GROWTH,SVR,0.4979994922921089,450,TRAIN,0.49196580605446816,0.5040331785297496
topo,0,C,GROWTH,MLP,0.3358472278267393,450,TRAIN,0.3305632544008605,0.34113120125261814
topo,0,C,GROWTH,MLR,0.3373733268994977,500,TRAIN,0.3322932983364982,0.3424533554624973
topo,0,C,GROWTH,RF,0.4609468153966621,500,TRAIN,0.45680564594709244,0.46508798484623176
topo,0,C,GROWTH,SVR,0.5014668117191855,500,TRAIN,0.4970654100902672,0.5058682133481038
topo,0,C,GROWTH,MLP,0.3219734541562343,500,TRAIN,0.31752155504082274,0.32642535327164585
topo,0,C,SYMMETRY,MLR,0.43467084416368396,50,TRAIN,0.4141941353061826,0.4551475530211853
topo,0,C,SYMMETRY,RF,0.5047609815452744,50,TRAIN,0.49484091520700246,0.5146810478835463
topo,0,C,SYMMETRY,SVR,0.4111269727872556,50,TRAIN,0.39442575571253086,0.4278281898619803
topo,0,C,SYMMETRY,MLP,0.04430557511773698,50,TRAIN,0.02609035915076096,0.062520791084713
topo,0,C,SYMMETRY,MLR,0.22115862794265045,100,TRAIN,0.21051668478496377,0.23180057110033714
topo,0,C,SYMMETRY,RF,0.3322631058069962,100,TRAIN,0.3236932673678237,0.34083294424616867
topo,0,C,SYMMETRY,SVR,0.4276867732571469,100,TRAIN,0.4188815481769492,0.43649199833734453
topo,0,C,SYMMETRY,MLP,0.07257758597613044,100,TRAIN,0.06046340719178361,0.08469176476047727
topo,0,C,SYMMETRY,MLR,0.13619054365413105,150,TRAIN,0.12748330023752963,0.14489778707073248
topo,0,C,SYMMETRY,RF,0.261652919227591,150,TRAIN,0.25607894441560547,0.2672268940395765
topo,0,C,SYMMETRY,SVR,0.4103126339875311,150,TRAIN,0.4020076902904652,0.418617577684597
topo,0,C,SYMMETRY,MLP,0.08667996427875198,150,TRAIN,0.07330639052650906,0.1000535380309949
topo,0,C,SYMMETRY,MLR,0.09294432512441926,200,TRAIN,0.08637900932794494,0.09950964092089358
topo,0,C,SYMMETRY,RF,0.2184275219837515,200,TRAIN,0.21337472752583206,0.22348031644167096
topo,0,C,SYMMETRY,SVR,0.3946184061337773,200,TRAIN,0.3866587582003352,0.4025780540672194
topo,0,C,SYMMETRY,MLP,0.0969064727220606,200,TRAIN,0.08615433027794842,0.10765861516617278
topo,0,C,SYMMETRY,MLR,0.07872660168714245,250,TRAIN,0.07361786306901616,0.08383534030526874
topo,0,C,SYMMETRY,RF,0.17941107780328086,250,TRAIN,0.17663059483662252,0.1821915607699392
topo,0,C,SYMMETRY,SVR,0.3867145772777686,250,TRAIN,0.38039481258611996,0.3930343419694172
topo,0,C,SYMMETRY,MLP,0.11270538023890235,250,TRAIN,0.10370644717065206,0.12170431330715265
topo,0,C,SYMMETRY,MLR,0.07163869768600607,300,TRAIN,0.06745213195370413,0.07582526341830802
topo,0,C,SYMMETRY,RF,0.16589818299075335,300,TRAIN,0.16257070392380252,0.16922566205770417
topo,0,C,SYMMETRY,SVR,0.3648777833570833,300,TRAIN,0.35865023928840944,0.3711053274257572
topo,0,C,SYMMETRY,MLP,0.09164005740297458,300,TRAIN,0.08449923238606148,0.09878088241988768
topo,0,C,SYMMETRY,MLR,0.055059893752190524,350,TRAIN,0.05161270458521521,0.058507082919165836
topo,0,C,SYMMETRY,RF,0.14279005246500978,350,TRAIN,0.1397216663399421,0.14585843859007747
topo,0,C,SYMMETRY,SVR,0.3646787600873293,350,TRAIN,0.36080984766915564,0.36854767250550297
topo,0,C,SYMMETRY,MLP,0.09341727921474226,350,TRAIN,0.08736480326499302,0.0994697551644915
topo,0,C,SYMMETRY,MLR,0.05127074415995578,400,TRAIN,0.04760975650880028,0.05493173181111127
topo,0,C,SYMMETRY,RF,0.13081827435942456,400,TRAIN,0.12779128846500934,0.13384526025383978
topo,0,C,SYMMETRY,SVR,0.3485370866055716,400,TRAIN,0.3449825134531577,0.35209165975798545
topo,0,C,SYMMETRY,MLP,0.09365819155666534,400,TRAIN,0.08661967689592293,0.10069670621740776
topo,0,C,SYMMETRY,MLR,0.038803946336033165,450,TRAIN,0.03683322003902959,0.04077467263303674
topo,0,C,SYMMETRY,RF,0.12126749490937015,450,TRAIN,0.11911174273782967,0.12342324708091064
topo,0,C,SYMMETRY,SVR,0.3397799733938878,450,TRAIN,0.3352009057429577,0.34435904104481796
topo,0,C,SYMMETRY,MLP,0.08083661599275635,450,TRAIN,0.07669152543420377,0.08498170655130893
topo,0,C,SYMMETRY,MLR,0.04128636850592245,500,TRAIN,0.03908311176834199,0.0434896252435029
topo,0,C,SYMMETRY,RF,0.11131133161285138,500,TRAIN,0.10927345838484522,0.11334920484085755
topo,0,C,SYMMETRY,SVR,0.3349133035287812,500,TRAIN,0.3321477477894389,0.33767885926812347
topo,0,C,SYMMETRY,MLP,0.08648375946385484,500,TRAIN,0.0805079339717243,0.09245958495598537
spatial,0,C,ACTIVITY,MLR,0.7576559447703505,50,TRAIN,0.7423181097898004,0.7729937797509006
spatial,0,C,ACTIVITY,RF,0.6072953041187392,50,TRAIN,0.5950492402797674,0.6195413679577111
spatial,0,C,ACTIVITY,SVR,0.6786882369070601,50,TRAIN,0.666227319773554,0.6911491540405663
spatial,0,C,ACTIVITY,MLP,0.8718985426632534,50,TRAIN,0.8630779811684094,0.8807191041580974
spatial,0,C,ACTIVITY,MLR,0.5426305058234966,100,TRAIN,0.5311722941990029,0.5540887174479903
spatial,0,C,ACTIVITY,RF,0.5166978130396362,100,TRAIN,0.5038577605815844,0.5295378654976881
spatial,0,C,ACTIVITY,SVR,0.6352314788543965,100,TRAIN,0.623989643444749,0.6464733142640439
spatial,0,C,ACTIVITY,MLP,0.7300135342688615,100,TRAIN,0.7182702269376383,0.7417568416000847
spatial,0,C,ACTIVITY,MLR,0.4319356685727505,150,TRAIN,0.4203879143384266,0.4434834228070744
spatial,0,C,ACTIVITY,RF,0.4323637219326779,150,TRAIN,0.4208726601539771,0.4438547837113787
spatial,0,C,ACTIVITY,SVR,0.6080845339560006,150,TRAIN,0.5970079433536678,0.6191611245583334
spatial,0,C,ACTIVITY,MLP,0.6135566952181731,150,TRAIN,0.6003952534012574,0.6267181370350888
spatial,0,C,ACTIVITY,MLR,0.4088099129211324,200,TRAIN,0.3976929835372251,0.4199268423050397
spatial,0,C,ACTIVITY,RF,0.3811472747031247,200,TRAIN,0.37128598261020246,0.39100856679604695
spatial,0,C,ACTIVITY,SVR,0.5920577856621745,200,TRAIN,0.5825473091686616,0.6015682621556874
spatial,0,C,ACTIVITY,MLP,0.5549121795248847,200,TRAIN,0.544979351807394,0.5648450072423754
spatial,0,C,ACTIVITY,MLR,0.3572855414843035,250,TRAIN,0.34918735605032425,0.3653837269182828
spatial,0,C,ACTIVITY,RF,0.35337712190985626,250,TRAIN,0.3436753320311653,0.36307891178854723
spatial,0,C,ACTIVITY,SVR,0.5662484430294363,250,TRAIN,0.5579086850620752,0.5745882009967974
spatial,0,C,ACTIVITY,MLP,0.5067771489096287,250,TRAIN,0.49800581722667625,0.5155484805925811
spatial,0,C,ACTIVITY,MLR,0.34636021089254004,300,TRAIN,0.33879664166460965,0.35392378012047043
spatial,0,C,ACTIVITY,RF,0.3491696830704509,300,TRAIN,0.3416279385591964,0.3567114275817054
spatial,0,C,ACTIVITY,SVR,0.5533610526757372,300,TRAIN,0.5461882508975692,0.5605338544539052
spatial,0,C,ACTIVITY,MLP,0.4866534814359698,300,TRAIN,0.479815148243001,0.49349181462893865
spatial,0,C,ACTIVITY,MLR,0.3284862803918689,350,TRAIN,0.3211526051148342,0.3358199556689036
spatial,0,C,ACTIVITY,RF,0.34215650415389137,350,TRAIN,0.33557967178337705,0.3487333365244057
spatial,0,C,ACTIVITY,SVR,0.5441543787766804,350,TRAIN,0.5380077332702933,0.5503010242830675
spatial,0,C,ACTIVITY,MLP,0.4593264234696015,350,TRAIN,0.45179343388390425,0.46685941305529877
spatial,0,C,ACTIVITY,MLR,0.3100170845477466,400,TRAIN,0.30341459313533287,0.3166195759601604
spatial,0,C,ACTIVITY,RF,0.32867958444498313,400,TRAIN,0.3240541024354321,0.33330506645453417
spatial,0,C,ACTIVITY,SVR,0.5464887315075296,400,TRAIN,0.5422337571223079,0.5507437058927513
spatial,0,C,ACTIVITY,MLP,0.4451888724779304,400,TRAIN,0.4393353904310329,0.4510423545248278
spatial,0,C,ACTIVITY,MLR,0.3129757323917002,450,TRAIN,0.30814751238207777,0.3178039524013226
spatial,0,C,ACTIVITY,RF,0.32356793001672696,450,TRAIN,0.3185544529774523,0.32858140705600164
spatial,0,C,ACTIVITY,SVR,0.5460004508530224,450,TRAIN,0.5413124912739703,0.5506884104320745
spatial,0,C,ACTIVITY,MLP,0.4297876192125186,450,TRAIN,0.4244287807566644,0.43514645766837284
spatial,0,C,ACTIVITY,MLR,0.3032723260019548,500,TRAIN,0.2980288862180431,0.30851576578586654
spatial,0,C,ACTIVITY,RF,0.3183461550887403,500,TRAIN,0.31436312028738667,0.32232918989009396
spatial,0,C,ACTIVITY,SVR,0.5259196854930314,500,TRAIN,0.5223816154858545,0.5294577555002082
spatial,0,C,ACTIVITY,MLP,0.4230479518718186,500,TRAIN,0.4187122187507594,0.42738368499287777
spatial,0,C,GROWTH,MLR,0.8283590194888067,50,TRAIN,0.8189978065901535,0.83772023238746
spatial,0,C,GROWTH,RF,0.6407665651056127,50,TRAIN,0.6270853178839871,0.6544478123272383
spatial,0,C,GROWTH,SVR,0.6364723995949376,50,TRAIN,0.6209054127660646,0.6520393864238107
spatial,0,C,GROWTH,MLP,0.7329117548466558,50,TRAIN,0.7156522274908386,0.7501712822024731
spatial,0,C,GROWTH,MLR,0.6227068303628974,100,TRAIN,0.6109185043416415,0.6344951563841533
spatial,0,C,GROWTH,RF,0.5248071024371233,100,TRAIN,0.5136005756517965,0.53601362922245
spatial,0,C,GROWTH,SVR,0.6174848774310698,100,TRAIN,0.6046470719883857,0.6303226828737539
spatial,0,C,GROWTH,MLP,0.6358795617774057,100,TRAIN,0.6204303525575801,0.6513287709972313
spatial,0,C,GROWTH,MLR,0.5225254208972501,150,TRAIN,0.5097026058203128,0.5353482359741873
spatial,0,C,GROWTH,RF,0.4595873126820894,150,TRAIN,0.4497803909607859,0.4693942344033929
spatial,0,C,GROWTH,SVR,0.5920136937427171,150,TRAIN,0.5782487612951477,0.6057786261902864
spatial,0,C,GROWTH,MLP,0.5781668561285402,150,TRAIN,0.56645846508694,0.5898752471701405
spatial,0,C,GROWTH,MLR,0.481068967932629,200,TRAIN,0.4687745858088117,0.49336335005644627
spatial,0,C,GROWTH,RF,0.4236176331946137,200,TRAIN,0.415121546743894,0.4321137196453334
spatial,0,C,GROWTH,SVR,0.5652650418894442,200,TRAIN,0.5512913683066922,0.5792387154721961
spatial,0,C,GROWTH,MLP,0.5464595555011302,200,TRAIN,0.5358809039384202,0.5570382070638402
spatial,0,C,GROWTH,MLR,0.4597877546688329,250,TRAIN,0.4502554471597788,0.4693200621778871
spatial,0,C,GROWTH,RF,0.4158439058817637,250,TRAIN,0.4063959939913037,0.42529181777222363
spatial,0,C,GROWTH,SVR,0.5474390492264599,250,TRAIN,0.536328156601857,0.5585499418510629
spatial,0,C,GROWTH,MLP,0.5057622224961251,250,TRAIN,0.49669157483596804,0.5148328701562822
spatial,0,C,GROWTH,MLR,0.4365767620613097,300,TRAIN,0.4302046658711256,0.44294885825149377
spatial,0,C,GROWTH,RF,0.38896524213028005,300,TRAIN,0.38109071826359703,0.3968397659969631
spatial,0,C,GROWTH,SVR,0.5411304363290944,300,TRAIN,0.5328032907507536,0.5494575819074352
spatial,0,C,GROWTH,MLP,0.490868655903665,300,TRAIN,0.4842409194419748,0.49749639236535526
spatial,0,C,GROWTH,MLR,0.4179589375857359,350,TRAIN,0.4114890053399833,0.4244288698314885
spatial,0,C,GROWTH,RF,0.3717543129917622,350,TRAIN,0.36588013553360677,0.37762849044991764
spatial,0,C,GROWTH,SVR,0.5142528222460732,350,TRAIN,0.508199864038516,0.5203057804536303
spatial,0,C,GROWTH,MLP,0.4686223824079026,350,TRAIN,0.4612452405114378,0.4759995243043674
spatial,0,C,GROWTH,MLR,0.4083508134394733,400,TRAIN,0.40245265772625455,0.4142489691526921
spatial,0,C,GROWTH,RF,0.36413658996099546,400,TRAIN,0.35750055228586336,0.37077262763612756
spatial,0,C,GROWTH,SVR,0.5223249392202239,400,TRAIN,0.5173106777563741,0.5273392006840738
spatial,0,C,GROWTH,MLP,0.4611843325304982,400,TRAIN,0.45428607092443984,0.4680825941365565
spatial,0,C,GROWTH,MLR,0.3977966863571329,450,TRAIN,0.39279234366091725,0.4028010290533485
spatial,0,C,GROWTH,RF,0.3519285319106045,450,TRAIN,0.34586634717449183,0.3579907166467172
spatial,0,C,GROWTH,SVR,0.5126006716725725,450,TRAIN,0.5069479910443945,0.5182533523007505
spatial,0,C,GROWTH,MLP,0.4474994489953473,450,TRAIN,0.44108771974711125,0.4539111782435834
spatial,0,C,GROWTH,MLR,0.3919840371526196,500,TRAIN,0.3864462692766754,0.39752180502856377
spatial,0,C,GROWTH,RF,0.3408003125086376,500,TRAIN,0.33604444358702723,0.345556181430248
spatial,0,C,GROWTH,SVR,0.5120025613343513,500,TRAIN,0.5080206140734536,0.515984508595249
spatial,0,C,GROWTH,MLP,0.4444464466032464,500,TRAIN,0.44016890352521126,0.4487239896812815
spatial,0,C,SYMMETRY,MLR,0.4159583130844766,50,TRAIN,0.39840826951768066,0.4335083566512726
spatial,0,C,SYMMETRY,RF,0.5981989261984133,50,TRAIN,0.5888107636077685,0.6075870887890581
spatial,0,C,SYMMETRY,SVR,0.43060472009403306,50,TRAIN,0.41377544223387064,0.4474339979541955
spatial,0,C,SYMMETRY,MLP,2.5830846227799705e-05,50,TRAIN,1.2272277879916176e-05,3.9389414575683236e-05
spatial,0,C,SYMMETRY,MLR,0.1951026494991556,100,TRAIN,0.18272841863657802,0.20747688036173317
spatial,0,C,SYMMETRY,RF,0.36922487835999374,100,TRAIN,0.36219342345097405,0.3762563332690134
spatial,0,C,SYMMETRY,SVR,0.4487070042741743,100,TRAIN,0.43859754319779626,0.45881646535055237
spatial,0,C,SYMMETRY,MLP,0.0007528225853992673,100,TRAIN,0.00042980614206152175,0.0010758390287370126
spatial,0,C,SYMMETRY,MLR,0.10719262280100518,150,TRAIN,0.09896129096847707,0.11542395463353329
spatial,0,C,SYMMETRY,RF,0.27624354006321994,150,TRAIN,0.26975539801337833,0.28273168211306154
spatial,0,C,SYMMETRY,SVR,0.4180250368144128,150,TRAIN,0.4101189448221883,0.42593112880663725
spatial,0,C,SYMMETRY,MLP,0.013868841852768644,150,TRAIN,0.008630817094269397,0.01910686661126789
spatial,0,C,SYMMETRY,MLR,0.09293867215102906,200,TRAIN,0.08590354222547594,0.09997380207658219
spatial,0,C,SYMMETRY,RF,0.23484570699598897,200,TRAIN,0.22775996968866918,0.24193144430330876
spatial,0,C,SYMMETRY,SVR,0.4012533174839762,200,TRAIN,0.39322805729540206,0.4092785776725503
spatial,0,C,SYMMETRY,MLP,0.016792793536516987,200,TRAIN,0.011599573886668577,0.021986013186365398
spatial,0,C,SYMMETRY,MLR,0.057167351164391166,250,TRAIN,0.0532884930269101,0.06104620930187223
spatial,0,C,SYMMETRY,RF,0.1902388655535389,250,TRAIN,0.1847629830130596,0.19571474809401818
spatial,0,C,SYMMETRY,SVR,0.3946973012153955,250,TRAIN,0.38780290121673855,0.4015917012140524
spatial,0,C,SYMMETRY,MLP,0.020148255218871758,250,TRAIN,0.01600471832171484,0.024291792116028676
spatial,0,C,SYMMETRY,MLR,0.041914631661681585,300,TRAIN,0.038012640008088336,0.045816623315274835
spatial,0,C,SYMMETRY,RF,0.16653387623933386,300,TRAIN,0.16348923448097047,0.16957851799769724
spatial,0,C,SYMMETRY,SVR,0.3762639835894264,300,TRAIN,0.3709050227039655,0.3816229444748873
spatial,0,C,SYMMETRY,MLP,0.027238136922270176,300,TRAIN,0.021945364087269322,0.032530909757271034
spatial,0,C,SYMMETRY,MLR,0.04087137201386305,350,TRAIN,0.037065426011163076,0.04467731801656303
spatial,0,C,SYMMETRY,RF,0.15018593411389294,350,TRAIN,0.1472457615353211,0.1531261066924648
spatial,0,C,SYMMETRY,SVR,0.3641346707605178,350,TRAIN,0.35947772768628994,0.3687916138347457
spatial,0,C,SYMMETRY,MLP,0.02510621856513667,350,TRAIN,0.0213092276904093,0.02890320943986404
spatial,0,C,SYMMETRY,MLR,0.03656323605232712,400,TRAIN,0.033813306570134004,0.03931316553452024
spatial,0,C,SYMMETRY,RF,0.1314511089758561,400,TRAIN,0.12918783624196398,0.13371438170974823
spatial,0,C,SYMMETRY,SVR,0.3594789498748021,400,TRAIN,0.35424927653642757,0.36470862321317665
spatial,0,C,SYMMETRY,MLP,0.029312449413906608,400,TRAIN,0.025622828392314483,0.033002070435498736
spatial,0,C,SYMMETRY,MLR,0.02912708254955217,450,TRAIN,0.02706487870717629,0.03118928639192805
spatial,0,C,SYMMETRY,RF,0.11894435692068428,450,TRAIN,0.11684973298637086,0.1210389808549977
spatial,0,C,SYMMETRY,SVR,0.3489837834660349,450,TRAIN,0.3457928158408848,0.35217475109118507
spatial,0,C,SYMMETRY,MLP,0.03216385361483707,450,TRAIN,0.027524190466824472,0.03680351676284967
spatial,0,C,SYMMETRY,MLR,0.029041475485119,500,TRAIN,0.027247634707257835,0.030835316262980167
spatial,0,C,SYMMETRY,RF,0.11679486424828214,500,TRAIN,0.11493912860059091,0.11865059989597337
spatial,0,C,SYMMETRY,SVR,0.338453493940834,500,TRAIN,0.3357358498595422,0.34117113802212584
spatial,0,C,SYMMETRY,MLP,0.03978218299819485,500,TRAIN,0.03616251928398829,0.043401846712401417
topo,8,C,ACTIVITY,MLR,0.8216100316620384,50,TRAIN,0.8104487197385041,0.8327713435855727
topo,8,C,ACTIVITY,RF,0.7408570179238506,50,TRAIN,0.7315540659979974,0.7501599698497038
topo,8,C,ACTIVITY,SVR,0.6665477387374011,50,TRAIN,0.6524430556221702,0.6806524218526321
topo,8,C,ACTIVITY,MLP,0.05617961163805727,50,TRAIN,0.030016933250440872,0.08234229002567367
topo,8,C,ACTIVITY,MLR,0.5935365438400433,100,TRAIN,0.5787789031708892,0.6082941845091974
topo,8,C,ACTIVITY,RF,0.6193692133900619,100,TRAIN,0.6082927946075276,0.6304456321725962
topo,8,C,ACTIVITY,SVR,0.6103007071233855,100,TRAIN,0.5974788432623822,0.6231225709843887
topo,8,C,ACTIVITY,MLP,0.4023655711599197,100,TRAIN,0.3791903264882623,0.42554081583157716
topo,8,C,ACTIVITY,MLR,0.5079802519278016,150,TRAIN,0.49598233301850725,0.519978170837096
topo,8,C,ACTIVITY,RF,0.5891320289905019,150,TRAIN,0.5812602361924304,0.5970038217885734
topo,8,C,ACTIVITY,SVR,0.5889409673981997,150,TRAIN,0.5805430738357076,0.5973388609606918
topo,8,C,ACTIVITY,MLP,0.428745653644264,150,TRAIN,0.412811236242329,0.44468007104619894
topo,8,C,ACTIVITY,MLR,0.446959736477805,200,TRAIN,0.4351449925374354,0.45877448041817465
topo,8,C,ACTIVITY,RF,0.5267856642905481,200,TRAIN,0.5167620053532629,0.5368093232278333
topo,8,C,ACTIVITY,SVR,0.5910493961578207,200,TRAIN,0.5823607943585359,0.5997379979571055
topo,8,C,ACTIVITY,MLP,0.4792736314110023,200,TRAIN,0.46457927237134067,0.493967990450664
topo,8,C,ACTIVITY,MLR,0.4222449466800308,250,TRAIN,0.4123856894753543,0.4321042038847073
topo,8,C,ACTIVITY,RF,0.4935549638853085,250,TRAIN,0.48694964006192926,0.5001602877086877
topo,8,C,ACTIVITY,SVR,0.5624911507086157,250,TRAIN,0.5550920251582085,0.5698902762590228
topo,8,C,ACTIVITY,MLP,0.5193619252596657,250,TRAIN,0.5098157675894199,0.5289080829299115
