feature,timepoint,context,response,model,train_r2s,R^2,test_r2s,set,se_lower,se_upper
topo,3,C,ACTIVITY,MLP,"[0.47492721212002975, 0.5580960120963224, 0.5127708871581567, 0.5792590765409842, 0.4934819715051303, 0.4984302832036198, 0.5464309442747206, 0.5419412854538725, 0.5803154183239423, 0.6250064249930138]",0.5410659515669793,"[0.3122058462627888, 0.112957068101607, 0.19344621949726815, 0.21302182696859717, 0.34099671956267885, 0.18312830458250084, 0.148178609231846, 0.19922012953567336, 0.15070632842781306, 0.10331469593835163]",TRAIN,0.5270581716809227,0.555073731453036
topo,3,C,GROWTH,MLR,"[0.3859111719192374, 0.37666792946165284, 0.3136916049139514, 0.33263948040478075, 0.35722741799852864, 0.35545155350287116, 0.33961235315872973, 0.3593760577700874, 0.333239840661937, 0.3633078578143354]",0.3517125267606112,"[0.13161598619567338, 0.22922119866545254, 0.32477637781637636, 0.2538682871997381, 0.24316987340358742, 0.20332831244196514, 0.26607633710938117, 0.22769273906520482, 0.2778471670169306, 0.22584467374064143]",TRAIN,0.3451345930888279,0.35829046043239454
topo,3,C,GROWTH,RF,"[0.6012864533248677, 0.5732361037358205, 0.5947545105804851, 0.5969366346921807, 0.6060338868606442, 0.6005976314707181, 0.5954249995153355, 0.6093331153196825, 0.5338076957080827, 0.591687751642562]",0.5903098782850379,"[0.2912062108649257, 0.31665877009663934, 0.22149193582173043, 0.2197998396284998, 0.2151806999885567, 0.2430774115830826, 0.2981740815844587, 0.1667429512901677, 0.36713642641650557, 0.22315259637033402]",TRAIN,0.5836681969253181,0.5969515596447577
topo,3,C,GROWTH,SVR,"[0.49995875582290783, 0.4880202501787737, 0.46930239458495415, 0.5255076922108327, 0.4753851646713987, 0.5070609711957217, 0.4988875784953982, 0.49264671305919017, 0.4884083068117755, 0.5079893393883335]",0.4953167166419286,"[0.21343130855561254, 0.25592189204110105, 0.2307259473204868, 0.12378515276592938, 0.30195467968119594, 0.23852347657342132, 0.2232100134765176, 0.2047092169731346, 0.2677889723913882, 0.20455440197635721]",TRAIN,0.4903908434658993,0.5002425898179579
topo,3,C,GROWTH,MLP,"[0.4877991061408393, 0.44641912251782634, 0.4703581896450183, 0.48093938169521744, 0.5201539502152239, 0.4836235371645965, 0.4749395549127984, 0.43757110833594415, 0.43376412114905516, 0.4258559107796569]",0.4661423982556176,"[0.1987335741136872, 0.2728400510560435, 0.19017898082215512, 0.21998999296951527, 0.2660928178282218, 0.22437423122977374, 0.30182337879696264, 0.27202487265645925, 0.2085457594555169, 0.2567623726194519]",TRAIN,0.4572639723504749,0.4750208241607603
topo,3,C,SYMMETRY,MLR,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[-0.004968275033360392, -0.020513771269302206, -4.7026859185450576e-05, -0.0001586638204811308, -0.001060548878973, -0.13749719270495997, -0.010708677507571762, -0.007186831188180864, -0.002912422440867868, -0.00976914971965992]",TRAIN,0.0,0.0
topo,3,C,SYMMETRY,RF,"[0.26378148622540365, 0.25456680982770796, 0.265288325517375, 0.26951448434141534, 0.2741938003993165, 0.26178404396341526, 0.2644824746152429, 0.24917327141811152, 0.26779815035449794, 0.2598924411382729]",0.2630475287800759,"[0.019706723899603817, -0.03217132243809506, -0.00312727317045125, -0.040181739539183914, -0.008666304952363646, -0.018603283815461058, -0.010863814594288534, 0.044541426632565106, -0.022098780578183597, 0.00971927305501541]",TRAIN,0.2608744737718229,0.26522058378832897
topo,3,C,SYMMETRY,SVR,"[0.32883659990085023, 0.31906535698439475, 0.3398536756697086, 0.3063916073810431, 0.33334524995853554, 0.3099401818394212, 0.34147107505390095, 0.3205350799659411, 0.32581376983887755, 0.3187042222229669]",0.324395681881564,"[-0.08121864138405166, -0.10027993337708407, -0.12963975833380026, 0.030114239134337195, -0.10503918246728183, -0.04375138681753854, -0.10232479000791739, 0.016475694964965926, -0.01810467146576178, -0.05612019654692535]",TRAIN,0.3208726666633004,0.32791869709982757
topo,3,C,SYMMETRY,MLP,"[-0.00023487482693584916, 0.032916949886768965, 0.04571759676617593, 0.026436783926450214, -0.0011161973365358957, 0.03977531410083013, 0.03849252702525474, 0.004857991512536075, 0.017651578707257642, 0.021610194025225793]",0.02261078637870277,"[-0.01901250331561033, -0.018414264828034765, -0.0023477968865537324, -0.044212020168351795, -0.0074418701160672285, -0.010081411171678267, -0.015699492324620756, 0.003331337335305329, 0.00719191968337296, 0.0036269451947670284]",TRAIN,0.017485085167011246,0.027736487590394297
topo,4,C,ACTIVITY,MLR,"[0.331494264338969, 0.34031837267108234, 0.356095786673276, 0.3691630963851875, 0.31948810383816084, 0.4077946395894819, 0.3580105382561697, 0.3740753160957968, 0.3216767602780416, 0.38046578590723645]",0.3558582664033402,"[0.28791422769701147, 0.17232233538603214, 0.22695899163296585, 0.1573505374148152, 0.2940571277981867, 0.018782695863990506, 0.23810636537676733, 0.16638681045928827, 0.2609471329335734, 0.1483468057223719]",TRAIN,0.3474067920076923,0.36430974079898804
topo,4,C,ACTIVITY,RF,"[0.38511850577478535, 0.36990234206625994, 0.37563997145058736, 0.3920268465456981, 0.4137946280794518, 0.41951469069627545, 0.3621428863159607, 0.3921356914255346, 0.39161009849078465, 0.3989293209861561]",0.3900814981831494,"[0.28358555646061656, 0.29467023160824346, 0.30089672479548457, 0.2536108453079168, 0.16108644010456175, 0.12379222939782197, 0.32519470121253335, 0.23851190981886627, 0.23173481075396118, 0.22477291506570052]",TRAIN,0.38466097847463043,0.3955020178916684
topo,4,C,ACTIVITY,SVR,"[0.4844829219366392, 0.5121622306853448, 0.49786338457669344, 0.5048494445626899, 0.5317493463584265, 0.4801693860191514, 0.5435942979292838, 0.5110790025490439, 0.47337031586157685, 0.5304183483022793]",0.5069738678781129,"[0.290883093747051, 0.1988225038743222, 0.23656922434282412, 0.20745253939353325, 0.18515424475578113, 0.30685273186721185, 0.10691536260470869, 0.23827505460963527, 0.31724711226203706, 0.13228781666603384]",TRAIN,0.49991034834581705,0.5140373874104088
topo,4,C,ACTIVITY,MLP,"[0.4878588550743367, 0.48819768601360203, 0.5267416658850821, 0.4407745553646175, 0.5338265081848729, 0.4771745433761394, 0.4538287838846947, 0.4648471539014789, 0.5062296996550746, 0.4498401452144123]",0.4829319596554311,"[0.11986401225452403, 0.2668216928783139, 0.15528094376483859, 0.22117722417089158, 0.17016837187335077, 0.26976037430756894, 0.27979409075422845, 0.25760449208518565, 0.1430776578555184, 0.1909402931537385]",TRAIN,0.4733487190279427,0.49251520028291956
topo,4,C,GROWTH,MLR,"[0.36961016953778836, 0.37707181929802913, 0.4122232227617596, 0.41154613500321946, 0.35635770997742, 0.41289271262200666, 0.4622508851777639, 0.41019932199027975, 0.41481464606247154, 0.36127139985125545]",0.3988238022281994,"[0.30498331677526724, 0.32962315748116056, 0.19454619515761395, 0.2043626710792582, 0.32084298726004046, 0.2354857935879333, 0.0581531819641391, 0.16020506458696004, 0.15863772971063705, 0.3237866175189006]",TRAIN,0.38908338239067736,0.40856422206572146
topo,4,C,GROWTH,RF,"[0.6405253937158096, 0.6345065985372478, 0.6411237217214462, 0.5639264811540441, 0.5965704016049294, 0.6018833126931133, 0.6028654131393315, 0.5861327804030809, 0.6165298634678937, 0.612242682602042]",0.6096306649038938,"[0.10436090406293486, 0.17218303569222626, 0.16667950993318725, 0.4030601738619283, 0.24315853897149808, 0.23896459066291853, 0.2893629315847611, 0.3215449116928667, 0.20124060555937318, 0.25310699689938676]",TRAIN,0.6021896205478273,0.6170717092599604
topo,4,C,GROWTH,SVR,"[0.49577638748746466, 0.45698499256751346, 0.5299389792348015, 0.5057768410053827, 0.47359393409455275, 0.5221233475198565, 0.4526938582097847, 0.52457661288809, 0.49384497318815657, 0.5112654857456951]",0.4966575411941298,"[0.2305762500710722, 0.3481376437010496, 0.12447681351371098, 0.18529986539548482, 0.3417284329572714, 0.15378595476470536, 0.3902497921491902, 0.254312366869354, 0.2697292660220497, 0.20212315149732873]",TRAIN,0.48836325211889137,0.5049518302693683
