feature,timepoint,context,response,model,R^2,num_observations,set,ci_lower,ci_upper
topo,0,C,GROWTH,RF,0.5043996031220805,395,TRAIN,0.4519859600,0.5610827000
topo,0,C,GROWTH,SVR,0.5048306385375783,395,TRAIN,0.4411871600,0.5863375900
topo,0,C,GROWTH,MLP,0.3223226213668056,395,TRAIN,0.2464283400,0.3985653300
topo,0,C,GROWTH,MLR,0.35529267706917284,343,TRAIN,0.2928092500,0.4284970500
topo,0,C,GROWTH,RF,0.5328273396151734,343,TRAIN,0.4804443000,0.5901429800
topo,0,C,GROWTH,SVR,0.5153491440998984,343,TRAIN,0.4451039500,0.5828934400
topo,0,C,GROWTH,MLP,0.30581465368910943,343,TRAIN,0.2306210900,0.3784242200
topo,0,C,GROWTH,MLR,0.3667766171122411,291,TRAIN,0.2686563500,0.4529897200
topo,0,C,GROWTH,RF,0.5442251999075225,291,TRAIN,0.4941111300,0.6051197400
topo,0,C,GROWTH,SVR,0.5288667580188041,291,TRAIN,0.4433615700,0.6049026500
topo,0,C,GROWTH,MLP,0.28836167261502005,291,TRAIN,0.0000001743,0.4042102740
topo,0,C,GROWTH,MLR,0.3851475410580191,238,TRAIN,0.2901500100,0.4710160200
topo,0,C,GROWTH,RF,0.5917648804447821,238,TRAIN,0.5247625100,0.6778984600
topo,0,C,GROWTH,SVR,0.5418183699220314,238,TRAIN,0.4488442900,0.6414214500
topo,0,C,GROWTH,MLP,0.2517643310325263,238,TRAIN,-0.0000001071,0.3679486590
topo,0,C,GROWTH,MLR,0.4195348893074355,186,TRAIN,0.2902726600,0.5460739600
topo,0,C,GROWTH,RF,0.6455966708204269,186,TRAIN,0.5946504400,0.7239188700
topo,0,C,GROWTH,SVR,0.5547609028729924,186,TRAIN,0.4501854300,0.6474377000
topo,0,C,GROWTH,MLP,0.15468039026995525,186,TRAIN,-0.0000013723,0.4093292930
topo,0,C,GROWTH,MLR,0.4769839626653077,134,TRAIN,0.3537996200,0.6127290900
topo,0,C,GROWTH,RF,0.7394519287437694,134,TRAIN,0.6587190200,0.8008672200
topo,0,C,GROWTH,SVR,0.5610957894552245,134,TRAIN,0.4076297200,0.6827262000
topo,0,C,GROWTH,MLP,0.04684462977170797,134,TRAIN,-0.0000004959,0.3335149390
topo,0,C,GROWTH,MLR,0.5741147518837759,82,TRAIN,0.4060092500,0.7139925500
topo,0,C,GROWTH,RF,0.8229639967171596,82,TRAIN,0.7575706500,0.8799512000
topo,0,C,GROWTH,SVR,0.6230843389565063,82,TRAIN,0.4350017600,0.7776547400
topo,0,C,GROWTH,MLP,0.003043758450857345,82,TRAIN,-0.0000003134,0.0000004924
topo,0,C,SYMMETRY,MLR,0.03939389260942989,500,TRAIN,0.0200111100,0.0625237300
topo,0,C,SYMMETRY,RF,0.11033291317040192,500,TRAIN,0.0944288800,0.1273019000
topo,0,C,SYMMETRY,SVR,0.3307992122391108,500,TRAIN,0.2930281200,0.3619267900
topo,0,C,SYMMETRY,MLP,0.0834127715943614,500,TRAIN,0.0408446800,0.1340549100
topo,0,C,SYMMETRY,MLR,0.04221288827819755,447,TRAIN,0.0189121800,0.0637954300
topo,0,C,SYMMETRY,RF,0.12186798036916124,447,TRAIN,0.0988813100,0.1499676700
topo,0,C,SYMMETRY,SVR,0.3425829850830697,447,TRAIN,0.2996174400,0.3814147700
topo,0,C,SYMMETRY,MLP,0.0861711936044772,447,TRAIN,0.0346195900,0.1438032200
topo,0,C,SYMMETRY,MLR,0.05321936157987649,395,TRAIN,0.0237681500,0.0971823900
topo,0,C,SYMMETRY,RF,0.13545202098169493,395,TRAIN,0.1136527300,0.1667501500
topo,0,C,SYMMETRY,SVR,0.3457899085361282,395,TRAIN,0.3005792200,0.3936250800
topo,0,C,SYMMETRY,MLP,0.08657051713617643,395,TRAIN,0.0425384900,0.1353931700
topo,0,C,SYMMETRY,MLR,0.05390229413964177,343,TRAIN,0.0210778900,0.0938079000
topo,0,C,SYMMETRY,RF,0.14551348769540398,343,TRAIN,0.1151464000,0.1754544200
topo,0,C,SYMMETRY,SVR,0.357831849655312,343,TRAIN,0.2993994700,0.4141390900
topo,0,C,SYMMETRY,MLP,0.08538368407983814,343,TRAIN,0.0310297300,0.1647083200
topo,0,C,SYMMETRY,MLR,0.06787200953416601,291,TRAIN,0.0308388400,0.1208535200
topo,0,C,SYMMETRY,RF,0.16701919481834265,291,TRAIN,0.1383446800,0.2019359800
topo,0,C,SYMMETRY,SVR,0.3653212229998045,291,TRAIN,0.2972659500,0.4234061000
topo,0,C,SYMMETRY,MLP,0.10232706822338868,291,TRAIN,0.0215659300,0.1816856700
topo,0,C,SYMMETRY,MLR,0.07964011982863264,238,TRAIN,0.0251991200,0.1373710600
topo,0,C,SYMMETRY,RF,0.19210576327003587,238,TRAIN,0.1572811700,0.2362784200
topo,0,C,SYMMETRY,SVR,0.3868726231927497,238,TRAIN,0.3098750800,0.4485018800
topo,0,C,SYMMETRY,MLP,0.09703817021085803,238,TRAIN,0.0257116400,0.1908013800
topo,0,C,SYMMETRY,MLR,0.11102119606943564,186,TRAIN,0.0473913400,0.2034293000
topo,0,C,SYMMETRY,RF,0.2182980478682624,186,TRAIN,0.1799030600,0.2720290000
topo,0,C,SYMMETRY,SVR,0.4049747867379985,186,TRAIN,0.3294723000,0.4863252600
topo,0,C,SYMMETRY,MLP,0.09399686502063856,186,TRAIN,0.0037264700,0.2280864300
topo,0,C,SYMMETRY,MLR,0.15934832172672755,134,TRAIN,0.0705323700,0.2721806800
topo,0,C,SYMMETRY,RF,0.2794130236357149,134,TRAIN,0.2249058700,0.3458536100
topo,0,C,SYMMETRY,SVR,0.4213503985241534,134,TRAIN,0.3271101000,0.5284223000
topo,0,C,SYMMETRY,MLP,0.08686852674077705,134,TRAIN,-0.0000028089,0.2427419210
topo,0,C,SYMMETRY,MLR,0.2816903522926193,82,TRAIN,0.1571794600,0.4433529800
topo,0,C,SYMMETRY,RF,0.3991904091720073,82,TRAIN,0.3254359300,0.4746194300
topo,0,C,SYMMETRY,SVR,0.43039247632541466,82,TRAIN,0.2989824100,0.5553969900
topo,0,C,SYMMETRY,MLP,0.06387962296998717,82,TRAIN,-0.0000079758,0.2684998510
spatial,0,C,ACTIVITY,MLR,0.3033639183854457,500,TRAIN,0.2439961500,0.3540227700
spatial,0,C,ACTIVITY,RF,0.31495918731911465,500,TRAIN,0.2682369600,0.3592407000
spatial,0,C,ACTIVITY,SVR,0.5294710175885323,500,TRAIN,0.4873796500,0.5853091500
spatial,0,C,ACTIVITY,MLP,0.4271945518283207,500,TRAIN,0.3848157400,0.4677112700
spatial,0,C,ACTIVITY,MLR,0.3145701118905839,447,TRAIN,0.2640632100,0.3789631400
spatial,0,C,ACTIVITY,RF,0.32694050957743703,447,TRAIN,0.2788563800,0.3921078600
spatial,0,C,ACTIVITY,SVR,0.5322959339971717,447,TRAIN,0.4889684400,0.5716434300
spatial,0,C,ACTIVITY,MLP,0.4413888680562541,447,TRAIN,0.3911634900,0.4909957300
spatial,0,C,ACTIVITY,MLR,0.3185651916081532,395,TRAIN,0.2685046700,0.3816364900
spatial,0,C,ACTIVITY,RF,0.3346914756746754,395,TRAIN,0.2838404400,0.3903699000
spatial,0,C,ACTIVITY,SVR,0.5362145792644495,395,TRAIN,0.4748541000,0.5864498800
spatial,0,C,ACTIVITY,MLP,0.44832615631245454,395,TRAIN,0.3831226400,0.5179362600
spatial,0,C,ACTIVITY,MLR,0.3247043968360574,343,TRAIN,0.2534329100,0.3857079200
spatial,0,C,ACTIVITY,RF,0.3492015032841886,343,TRAIN,0.2808413200,0.4158001200
spatial,0,C,ACTIVITY,SVR,0.5468896517046347,343,TRAIN,0.4720810700,0.6199178900
spatial,0,C,ACTIVITY,MLP,0.4618257828648595,343,TRAIN,0.3917442100,0.5360019300
spatial,0,C,ACTIVITY,MLR,0.33970546904395904,291,TRAIN,0.2660304400,0.4210873300
spatial,0,C,ACTIVITY,RF,0.3558611168443717,291,TRAIN,0.2829757400,0.4375821000
spatial,0,C,ACTIVITY,SVR,0.554114648967194,291,TRAIN,0.4871252100,0.6456498300
spatial,0,C,ACTIVITY,MLP,0.4869340062241696,291,TRAIN,0.4030295000,0.5769332800
spatial,0,C,ACTIVITY,MLR,0.3565992109164982,238,TRAIN,0.2606717500,0.4671206100
spatial,0,C,ACTIVITY,RF,0.3790276625578383,238,TRAIN,0.3060103500,0.4558064000
spatial,0,C,ACTIVITY,SVR,0.5686113342721244,238,TRAIN,0.4817119400,0.6576216600
spatial,0,C,ACTIVITY,MLP,0.5160639366186751,238,TRAIN,0.4501626900,0.6099577000
spatial,0,C,ACTIVITY,MLR,0.4052314060337695,186,TRAIN,0.2976661100,0.5173940300
spatial,0,C,ACTIVITY,RF,0.40472443521161466,186,TRAIN,0.3097689300,0.5089110600
spatial,0,C,ACTIVITY,SVR,0.5931117607641261,186,TRAIN,0.4987512100,0.7041779200
spatial,0,C,ACTIVITY,MLP,0.5675827080759092,186,TRAIN,0.4493733300,0.6757012500
spatial,0,C,ACTIVITY,MLR,0.4588689914955594,134,TRAIN,0.3237757500,0.6122139900
spatial,0,C,ACTIVITY,RF,0.4496346450353113,134,TRAIN,0.3482895400,0.5433538000
spatial,0,C,ACTIVITY,SVR,0.6110743669535861,134,TRAIN,0.5073051600,0.7196724400
spatial,0,C,ACTIVITY,MLP,0.6522876897664571,134,TRAIN,0.4982945700,0.7668833100
spatial,0,C,ACTIVITY,MLR,0.6002028362134474,82,TRAIN,0.4122655700,0.7503706900
spatial,0,C,ACTIVITY,RF,0.5302969063513414,82,TRAIN,0.4197656300,0.6694214100
spatial,0,C,ACTIVITY,SVR,0.6397355716536557,82,TRAIN,0.5346017200,0.7305941100
spatial,0,C,ACTIVITY,MLP,0.7762178138909968,82,TRAIN,0.6666734400,0.8564991000
spatial,0,C,GROWTH,MLR,0.3814147708998395,500,TRAIN,0.3283698200,0.4328412200
spatial,0,C,GROWTH,RF,0.34567013421348586,500,TRAIN,0.2978131600,0.3942503400
spatial,0,C,GROWTH,SVR,0.5105692651101014,500,TRAIN,0.4637456200,0.5590864900
spatial,0,C,GROWTH,MLP,0.4394016821905701,500,TRAIN,0.3937511900,0.4830728400
spatial,0,C,GROWTH,MLR,0.3915593279754787,447,TRAIN,0.3332177400,0.4457164400
spatial,0,C,GROWTH,RF,0.35063677083134925,447,TRAIN,0.3030751800,0.4142979700
spatial,0,C,GROWTH,SVR,0.5131723658293236,447,TRAIN,0.4641128800,0.5612493500
spatial,0,C,GROWTH,MLP,0.4596637311690937,447,TRAIN,0.4080331200,0.5208605300
spatial,0,C,GROWTH,MLR,0.3949930038647748,395,TRAIN,0.3414238500,0.4596070100
spatial,0,C,GROWTH,RF,0.3595576058579051,395,TRAIN,0.2987008800,0.4204870500
spatial,0,C,GROWTH,SVR,0.5225715287724815,395,TRAIN,0.4644980600,0.6010677200
spatial,0,C,GROWTH,MLP,0.464596653778769,395,TRAIN,0.3873770500,0.5353884100
spatial,0,C,GROWTH,MLR,0.4108499135952438,343,TRAIN,0.3372798100,0.4996166900
spatial,0,C,GROWTH,RF,0.3756066960000243,343,TRAIN,0.3061708000,0.4498998300
spatial,0,C,GROWTH,SVR,0.5270877518005621,343,TRAIN,0.4562417800,0.6135720600
spatial,0,C,GROWTH,MLP,0.4724169318582298,343,TRAIN,0.4016117600,0.5408496800
spatial,0,C,GROWTH,MLR,0.4264323039271287,291,TRAIN,0.3189682800,0.5147857000
spatial,0,C,GROWTH,RF,0.38240956976902296,291,TRAIN,0.3006669200,0.4520914600
spatial,0,C,GROWTH,SVR,0.5438753798460261,291,TRAIN,0.4807172900,0.6102784100
spatial,0,C,GROWTH,MLP,0.5025238699966557,291,TRAIN,0.4203013100,0.5833144000
spatial,0,C,GROWTH,MLR,0.4542280856951528,238,TRAIN,0.3710189600,0.5510720700
spatial,0,C,GROWTH,RF,0.4017311230237586,238,TRAIN,0.3193041700,0.4932741200
spatial,0,C,GROWTH,SVR,0.5520013255121775,238,TRAIN,0.4693599600,0.6236642200
spatial,0,C,GROWTH,MLP,0.5156158401300233,238,TRAIN,0.4090433500,0.6047675700
spatial,0,C,GROWTH,MLR,0.4905215546052615,186,TRAIN,0.3686265200,0.6054542000
spatial,0,C,GROWTH,RF,0.43820538336264336,186,TRAIN,0.3484884400,0.5288629200
spatial,0,C,GROWTH,SVR,0.5708318064017344,186,TRAIN,0.4621178300,0.6768332600
spatial,0,C,GROWTH,MLP,0.5563899386493927,186,TRAIN,0.4284472600,0.6612428800
spatial,0,C,GROWTH,MLR,0.5529181431254885,134,TRAIN,0.4064542200,0.6673026400
spatial,0,C,GROWTH,RF,0.4794777796617654,134,TRAIN,0.3752798200,0.5764206200
spatial,0,C,GROWTH,SVR,0.5952453905442512,134,TRAIN,0.4438700500,0.7123191700
spatial,0,C,GROWTH,MLP,0.5996269242778414,134,TRAIN,0.4655984100,0.7403291700
spatial,0,C,GROWTH,MLR,0.6762075003037319,82,TRAIN,0.5495023700,0.8096121300
spatial,0,C,GROWTH,RF,0.5517230256372476,82,TRAIN,0.4268878500,0.7040460000
spatial,0,C,GROWTH,SVR,0.626304847228879,82,TRAIN,0.4408303500,0.7888118400
spatial,0,C,GROWTH,MLP,0.6702519360356898,82,TRAIN,0.4940127600,0.8073072400
spatial,0,C,SYMMETRY,MLR,0.026678486252220118,500,TRAIN,0.0114709700,0.0473505400
spatial,0,C,SYMMETRY,RF,0.11204748389151456,500,TRAIN,0.0965488800,0.1301557300
spatial,0,C,SYMMETRY,SVR,0.3392847857321923,500,TRAIN,0.3060367300,0.3816387000
spatial,0,C,SYMMETRY,MLP,0.03322192767902304,500,TRAIN,0.0007685200,0.0729816400
spatial,0,C,SYMMETRY,MLR,0.034515649206541536,447,TRAIN,0.0126250600,0.0579642000
spatial,0,C,SYMMETRY,RF,0.12221445946652988,447,TRAIN,0.1016510200,0.1526306800
spatial,0,C,SYMMETRY,SVR,0.3526314122590249,447,TRAIN,0.3099558600,0.3930697200
spatial,0,C,SYMMETRY,MLP,0.03382840717648887,447,TRAIN,0.0006130200,0.0822901900
spatial,0,C,SYMMETRY,MLR,0.035739312005686766,395,TRAIN,0.0108921100,0.0667521200
spatial,0,C,SYMMETRY,RF,0.13792751456028815,395,TRAIN,0.1174305800,0.1645261200
spatial,0,C,SYMMETRY,SVR,0.3580281509368547,395,TRAIN,0.3100315500,0.4020327500
spatial,0,C,SYMMETRY,MLP,0.029253579969551063,395,TRAIN,0.0000045789,0.0719804561
spatial,0,C,SYMMETRY,MLR,0.04144447253860365,343,TRAIN,0.0150974300,0.0819251200
spatial,0,C,SYMMETRY,RF,0.1479486964935082,343,TRAIN,0.1225462600,0.1781320300
spatial,0,C,SYMMETRY,SVR,0.3669717343940653,343,TRAIN,0.3151316900,0.4276779600
spatial,0,C,SYMMETRY,MLP,0.031731199251172716,343,TRAIN,-0.0006967200,0.1053881700
spatial,0,C,SYMMETRY,MLR,0.05450175138300963,291,TRAIN,0.0153786100,0.1104103800
spatial,0,C,SYMMETRY,RF,0.17045595601365676,291,TRAIN,0.1425850600,0.2041123600
spatial,0,C,SYMMETRY,SVR,0.38667524864955977,291,TRAIN,0.3360728600,0.4516302100
spatial,0,C,SYMMETRY,MLP,0.023785470500034246,291,TRAIN,-0.0007513600,0.0854863300
spatial,0,C,SYMMETRY,MLR,0.0630423863120185,238,TRAIN,0.0149339100,0.1214733900
spatial,0,C,SYMMETRY,RF,0.1993290205164185,238,TRAIN,0.1667728400,0.2408523600
spatial,0,C,SYMMETRY,SVR,0.39340965497569774,238,TRAIN,0.3152807700,0.4712619200
spatial,0,C,SYMMETRY,MLP,0.019267732386916002,238,TRAIN,-0.0002430600,0.0821231900
spatial,0,C,SYMMETRY,MLR,0.08275709388896864,186,TRAIN,0.0246698700,0.1655281500
spatial,0,C,SYMMETRY,RF,0.2420982300590167,186,TRAIN,0.1967475400,0.2868106300
spatial,0,C,SYMMETRY,SVR,0.4085470072937152,186,TRAIN,0.3279474500,0.4878491100
spatial,0,C,SYMMETRY,MLP,0.014550969288025637,186,TRAIN,-0.0001471800,0.0717980500
spatial,0,C,SYMMETRY,MLR,0.13684591092151546,134,TRAIN,0.0465385900,0.2679430300
spatial,0,C,SYMMETRY,RF,0.3112292041223515,134,TRAIN,0.2665196100,0.3741622900
spatial,0,C,SYMMETRY,SVR,0.430977057131688,134,TRAIN,0.3149249800,0.5234509300
spatial,0,C,SYMMETRY,MLP,0.006369265731580824,134,TRAIN,-0.0001352800,0.0431011400
spatial,0,C,SYMMETRY,MLR,0.2361060884623292,82,TRAIN,0.0893795200,0.4216572700
spatial,0,C,SYMMETRY,RF,0.4421051850635152,82,TRAIN,0.3680925200,0.5528525300
spatial,0,C,SYMMETRY,SVR,0.4470836894377582,82,TRAIN,0.3318662800,0.5827027400
spatial,0,C,SYMMETRY,MLP,0.0013792491455222836,82,TRAIN,-0.0000607534,0.0026095893
topo,0,CH,ACTIVITY,MLR,0.16594503076565326,500,TRAIN,0.1133983000,0.2201683800
topo,0,CH,ACTIVITY,RF,0.10364139803647818,500,TRAIN,0.0810340500,0.1304176500
topo,0,CH,ACTIVITY,SVR,0.18776431086726764,500,TRAIN,0.1520035000,0.2277847900
topo,0,CH,ACTIVITY,MLP,0.2228961051636217,500,TRAIN,0.1191403700,0.5472104800
topo,0,CH,ACTIVITY,MLR,0.17861854233104812,447,TRAIN,0.1162598200,0.2355969100
topo,0,CH,ACTIVITY,RF,0.106885702452916,447,TRAIN,0.0818862400,0.1347290900
topo,0,CH,ACTIVITY,SVR,0.1825861550997352,447,TRAIN,0.1399756400,0.2249054400
topo,0,CH,ACTIVITY,MLP,0.24349666858388275,447,TRAIN,0.1176137700,0.5548597000
topo,0,CH,ACTIVITY,MLR,0.18952031190088545,395,TRAIN,0.1286896800,0.2764470000
topo,0,CH,ACTIVITY,RF,0.11150202710123608,395,TRAIN,0.0790439500,0.1458762500
topo,0,CH,ACTIVITY,SVR,0.19282534595941875,395,TRAIN,0.1456860400,0.2722674100
topo,0,CH,ACTIVITY,MLP,0.20586599660675745,395,TRAIN,0.0881244700,0.5089809100
topo,0,CH,ACTIVITY,MLR,0.19412736585285773,343,TRAIN,0.1099064300,0.2794198300
topo,0,CH,ACTIVITY,RF,0.1117418343697246,343,TRAIN,0.0754185400,0.1455046300
topo,0,CH,ACTIVITY,SVR,0.1986850554257908,343,TRAIN,0.1235679700,0.2572493800
topo,0,CH,ACTIVITY,MLP,0.20429555617567347,343,TRAIN,0.1035536900,0.3631016900
topo,0,CH,ACTIVITY,MLR,0.22551093884148585,291,TRAIN,0.1307223800,0.3114957800
topo,0,CH,ACTIVITY,RF,0.12144478386932465,291,TRAIN,0.0821063800,0.1691868800
topo,0,CH,ACTIVITY,SVR,0.2056592024433231,291,TRAIN,0.1383461700,0.2713695600
topo,0,CH,ACTIVITY,MLP,0.1995653696928288,291,TRAIN,0.0553683200,0.4147940600
topo,0,CH,ACTIVITY,MLR,0.234524687594654,238,TRAIN,0.1080203100,0.3609593000
topo,0,CH,ACTIVITY,RF,0.12404540495951916,238,TRAIN,0.0836934100,0.1808434300
topo,0,CH,ACTIVITY,SVR,0.20794700841191954,238,TRAIN,0.1244958600,0.2932393500
topo,0,CH,ACTIVITY,MLP,0.20741452206411126,238,TRAIN,0.0225850500,0.3852081800
topo,0,CH,ACTIVITY,MLR,0.2871422265473767,186,TRAIN,0.1543032300,0.4423441300
topo,0,CH,ACTIVITY,RF,0.14036695712336253,186,TRAIN,0.0978437500,0.1923325300
topo,0,CH,ACTIVITY,SVR,0.22092938172224272,186,TRAIN,0.1141613600,0.3125061100
topo,0,CH,ACTIVITY,MLP,0.19413203297218126,186,TRAIN,-0.0000014262,0.4173385790
topo,0,CH,ACTIVITY,MLR,0.3304543750129104,134,TRAIN,0.1470494500,0.5027897100
topo,0,CH,ACTIVITY,RF,0.16494127888573618,134,TRAIN,0.0979046700,0.2579933700
topo,0,CH,ACTIVITY,SVR,0.2424838530050805,134,TRAIN,0.1067613300,0.3820693000
topo,0,CH,ACTIVITY,MLP,0.1345204717580242,134,TRAIN,-0.0000007961,0.4513755340
topo,0,CH,ACTIVITY,MLR,0.4948962723852391,82,TRAIN,0.2907033100,0.7147031500
topo,0,CH,ACTIVITY,RF,0.21304484925121467,82,TRAIN,0.1310821600,0.3264588800
topo,0,CH,ACTIVITY,SVR,0.2873087530315778,82,TRAIN,0.1160570300,0.5375596500
topo,0,CH,ACTIVITY,MLP,0.09223958241866922,82,TRAIN,-0.0000008864,0.4858011830
topo,0,CH,GROWTH,MLR,0.3872484860683061,500,TRAIN,0.3315953100,0.4507713900
topo,0,CH,GROWTH,RF,0.3049318176516781,500,TRAIN,0.2485003500,0.3511791900
topo,0,CH,GROWTH,SVR,0.4975823108832506,500,TRAIN,0.4477222600,0.5536944200
topo,0,CH,GROWTH,MLP,0.4298707384691815,500,TRAIN,0.3735656700,0.4801680900
topo,0,CH,GROWTH,MLR,0.39989438443010494,447,TRAIN,0.3253073600,0.4785265600
topo,0,CH,GROWTH,RF,0.3159938631075942,447,TRAIN,0.2570787400,0.3828651800
topo,0,CH,GROWTH,SVR,0.5028764777795073,447,TRAIN,0.4353529500,0.5714560300
topo,0,CH,GROWTH,MLP,0.4422638473725988,447,TRAIN,0.3731647500,0.5061406300
topo,0,CH,GROWTH,MLR,0.4140763698906341,395,TRAIN,0.3406362400,0.4861864300
topo,0,CH,GROWTH,RF,0.3197709556762442,395,TRAIN,0.2482814500,0.3957115800
topo,0,CH,GROWTH,SVR,0.4983353674796511,395,TRAIN,0.4265359300,0.5792104100
topo,0,CH,GROWTH,MLP,0.4511856982826176,395,TRAIN,0.3635148800,0.5282963900
topo,0,CH,GROWTH,MLR,0.4237522937741149,343,TRAIN,0.3303106200,0.5203152800
topo,0,CH,GROWTH,RF,0.3435910717369151,343,TRAIN,0.2694656400,0.4353379300
topo,0,CH,GROWTH,SVR,0.5141607779982976,343,TRAIN,0.4347356200,0.5950325700
topo,0,CH,GROWTH,MLP,0.4721257006395444,343,TRAIN,0.3981976400,0.5518748500
topo,0,CH,GROWTH,MLR,0.4500831783350224,291,TRAIN,0.3388837100,0.5491037800
topo,0,CH,GROWTH,RF,0.38152399773054535,291,TRAIN,0.2870676300,0.4718530100
topo,0,CH,GROWTH,SVR,0.5136485569514374,291,TRAIN,0.4235673400,0.6024153300
topo,0,CH,GROWTH,MLP,0.4962651936938674,291,TRAIN,0.4042187100,0.5954349800
topo,0,CH,GROWTH,MLR,0.4721615231505292,238,TRAIN,0.3365458200,0.5583725800
topo,0,CH,GROWTH,RF,0.3985604308249787,238,TRAIN,0.2916323200,0.4990374400
topo,0,CH,GROWTH,SVR,0.5225939614575198,238,TRAIN,0.4115562300,0.6413307500
topo,0,CH,GROWTH,MLP,0.5175037264040004,238,TRAIN,0.3871136100,0.6417359000
topo,0,CH,GROWTH,MLR,0.5242210172632308,186,TRAIN,0.3943627900,0.6220929600
topo,0,CH,GROWTH,RF,0.4306715674357387,186,TRAIN,0.3112263600,0.5438588900
topo,0,CH,GROWTH,SVR,0.5307655120407222,186,TRAIN,0.4135473800,0.6470514000
topo,0,CH,GROWTH,MLP,0.5715328714223911,186,TRAIN,0.4582958000,0.6887750300
