feature,timepoint,context,response,model,R^2,set,ci_lower,ci_upper
topo,7,C,SYMMETRY,RF,0.29077881483740514,TRAIN,0.2686453900,0.3116499600
topo,7,C,SYMMETRY,SVR,0.36658634735095597,TRAIN,0.3209724100,0.3923275800
topo,7,C,SYMMETRY,MLP,0.1481058498850725,TRAIN,0.1006694900,0.2047902200
topo,8,C,ACTIVITY,MLR,0.4829131228545553,TRAIN,0.4477793300,0.5154090700
topo,8,C,ACTIVITY,RF,0.4384009495688663,TRAIN,0.4130802300,0.4649835400
topo,8,C,ACTIVITY,SVR,0.4534350349467177,TRAIN,0.4064784900,0.5054036100
topo,8,C,ACTIVITY,MLP,0.5576348233534817,TRAIN,0.5271181700,0.6008519500
topo,8,C,GROWTH,MLR,0.7102123289853459,TRAIN,0.6860055200,0.7313007600
topo,8,C,GROWTH,RF,0.7695935654036804,TRAIN,0.7482183800,0.7909651600
topo,8,C,GROWTH,SVR,0.7020064599694358,TRAIN,0.6644915300,0.7325927700
topo,8,C,GROWTH,MLP,0.7130530967578133,TRAIN,0.6878877200,0.7424333300
topo,8,C,SYMMETRY,MLR,0.14044896669542134,TRAIN,0.0998650500,0.1915704400
topo,8,C,SYMMETRY,RF,0.2888417153333066,TRAIN,0.2718415300,0.3122306600
topo,8,C,SYMMETRY,SVR,0.3701553998755352,TRAIN,0.3280717300,0.4050617500
topo,8,C,SYMMETRY,MLP,0.1507752706381062,TRAIN,0.0834853400,0.2343630300
topo,9,C,ACTIVITY,MLR,0.4147270673205219,TRAIN,0.3673712300,0.4555793300
topo,9,C,ACTIVITY,RF,0.44239857402955934,TRAIN,0.4010177900,0.4955645100
topo,9,C,ACTIVITY,SVR,0.5506777578521586,TRAIN,0.5073193400,0.5987695200
topo,9,C,ACTIVITY,MLP,0.4833339687494822,TRAIN,0.4382169900,0.5232235800
topo,9,C,GROWTH,MLR,0.7317073912546203,TRAIN,0.7034835700,0.7581426400
topo,9,C,GROWTH,RF,0.7675504412908771,TRAIN,0.7475445600,0.7861234700
topo,9,C,GROWTH,SVR,0.7216278909640493,TRAIN,0.6931758300,0.7439469800
topo,9,C,GROWTH,MLP,0.7278461124111427,TRAIN,0.7017693100,0.7536077600
topo,9,C,SYMMETRY,MLR,0.1277790733737085,TRAIN,0.0947805100,0.1625984500
topo,9,C,SYMMETRY,RF,0.2973334472779523,TRAIN,0.2823020800,0.3197505400
topo,9,C,SYMMETRY,SVR,0.3778490380176724,TRAIN,0.3361618500,0.4137330900
topo,9,C,SYMMETRY,MLP,0.15212084891015182,TRAIN,0.1076924600,0.2191457500
topo,10,C,ACTIVITY,MLR,0.4860069065118097,TRAIN,0.4451699500,0.5318607200
topo,10,C,ACTIVITY,RF,0.4461952161869085,TRAIN,0.4160826100,0.4847204500
topo,10,C,ACTIVITY,SVR,0.5704746734908885,TRAIN,0.5352543300,0.6175762100
topo,10,C,ACTIVITY,MLP,0.5650502143035021,TRAIN,0.5199312000,0.6185972600
topo,10,C,GROWTH,MLR,0.4982335772578951,TRAIN,0.4646337500,0.5390328700
topo,10,C,GROWTH,RF,0.7635990589738981,TRAIN,0.7460929900,0.7877520300
topo,10,C,GROWTH,SVR,0.7918106130970045,TRAIN,0.7668426100,0.8114039000
topo,10,C,GROWTH,MLP,0.6780496680588559,TRAIN,0.6465516500,0.7042620100
topo,10,C,SYMMETRY,MLR,0.15119677817247956,TRAIN,0.1115679700,0.1874196400
topo,10,C,SYMMETRY,RF,0.30139833769463514,TRAIN,0.2737164900,0.3315881800
topo,10,C,SYMMETRY,SVR,0.3880070717320089,TRAIN,0.3484479200,0.4286540800
topo,10,C,SYMMETRY,MLP,0.1682919833986855,TRAIN,0.0796517900,0.2562509800
topo,11,C,ACTIVITY,MLR,0.401293301331176,TRAIN,0.3422641800,0.4404484100
topo,11,C,ACTIVITY,RF,0.4519310766981194,TRAIN,0.4068661600,0.4981506900
topo,11,C,ACTIVITY,SVR,0.5670651063904694,TRAIN,0.5195719300,0.6125766900
topo,11,C,ACTIVITY,MLP,0.5996121268305163,TRAIN,0.5396359300,0.6477088400
topo,11,C,GROWTH,MLR,0.7257032390319793,TRAIN,0.7082461600,0.7428111100
topo,11,C,GROWTH,RF,0.7509348805105607,TRAIN,0.7279696900,0.7749374600
topo,11,C,GROWTH,SVR,0.7159833807423805,TRAIN,0.6892070700,0.7401019000
topo,11,C,GROWTH,MLP,0.7249428286019162,TRAIN,0.7025617200,0.7473781500
topo,11,C,SYMMETRY,MLR,0.15953442987794528,TRAIN,0.1282912600,0.2256912800
topo,11,C,SYMMETRY,RF,0.21160117659781605,TRAIN,0.1850993500,0.2371676700
topo,11,C,SYMMETRY,SVR,0.3904289175694257,TRAIN,0.3387773900,0.4361091500
topo,11,C,SYMMETRY,MLP,0.1835806710143064,TRAIN,0.1100180800,0.2686213800
topo,12,C,ACTIVITY,MLR,0.4844241301062822,TRAIN,0.4438166200,0.5311596700
topo,12,C,ACTIVITY,RF,0.4668583670028752,TRAIN,0.4270008100,0.4999721800
topo,12,C,ACTIVITY,SVR,0.4971284448647346,TRAIN,0.4369273100,0.5445238900
topo,12,C,ACTIVITY,MLP,0.5436234356987605,TRAIN,0.4996239900,0.5979474000
topo,12,C,GROWTH,MLR,0.40707532260091855,TRAIN,0.3682186400,0.4416451400
topo,12,C,GROWTH,RF,0.8498199315000499,TRAIN,0.8370953900,0.8615272000
topo,12,C,GROWTH,SVR,0.6986235728548478,TRAIN,0.6677242700,0.7321675000
topo,12,C,GROWTH,MLP,0.7678624953699917,TRAIN,0.7185710700,0.8130460600
topo,12,C,SYMMETRY,MLR,0.1880570693511496,TRAIN,0.1443185800,0.2359667000
topo,12,C,SYMMETRY,RF,0.27679850493128977,TRAIN,0.2337979800,0.3140521600
topo,12,C,SYMMETRY,SVR,0.4104256480213026,TRAIN,0.3758767100,0.4493504900
topo,12,C,SYMMETRY,MLP,0.2079801793566404,TRAIN,0.0959347600,0.2870823400
topo,13,C,ACTIVITY,MLR,0.5768762788374308,TRAIN,0.5408746100,0.6111654700
topo,13,C,ACTIVITY,RF,0.5093007636640815,TRAIN,0.4792467700,0.5343881900
topo,13,C,ACTIVITY,SVR,0.5291959473249368,TRAIN,0.4860296500,0.5831870200
topo,13,C,ACTIVITY,MLP,0.5880838818088355,TRAIN,0.5534099900,0.6327482200
topo,13,C,GROWTH,MLR,0.6064910516024397,TRAIN,0.5785515500,0.6372035200
topo,13,C,GROWTH,RF,0.7071536705636355,TRAIN,0.6862340000,0.7318403700
topo,13,C,GROWTH,SVR,0.636729069311135,TRAIN,0.6147409400,0.6627048000
topo,13,C,GROWTH,MLP,0.7556219294869682,TRAIN,0.7215836900,0.7823961400
topo,13,C,SYMMETRY,MLR,0.21949886554970605,TRAIN,0.1870305500,0.2635640300
topo,13,C,SYMMETRY,RF,0.2929689443782953,TRAIN,0.2627795900,0.3234027600
topo,13,C,SYMMETRY,SVR,0.4437412541236847,TRAIN,0.4063091700,0.4911077800
topo,13,C,SYMMETRY,MLP,0.2170583859762644,TRAIN,0.1263988700,0.2920920700
topo,14,C,ACTIVITY,MLR,0.5355468295812531,TRAIN,0.4982945200,0.5810708900
topo,14,C,ACTIVITY,RF,0.5285943545182392,TRAIN,0.4915789800,0.5891766000
topo,14,C,ACTIVITY,SVR,0.5590873119067157,TRAIN,0.5176365000,0.6092065300
topo,14,C,ACTIVITY,MLP,0.6481336574945887,TRAIN,0.5910017200,0.6929350400
topo,14,C,GROWTH,MLR,0.6197929678441769,TRAIN,0.5929874100,0.6459414200
topo,14,C,GROWTH,RF,0.6979216523472325,TRAIN,0.6737247000,0.7190931700
topo,14,C,GROWTH,SVR,0.61609332015632,TRAIN,0.5797672400,0.6450998700
topo,14,C,GROWTH,MLP,0.6610242737511489,TRAIN,0.6305623000,0.6955418900
topo,14,C,SYMMETRY,MLR,0.21683241749424376,TRAIN,0.1807357400,0.2578906400
topo,14,C,SYMMETRY,RF,0.2956462453292951,TRAIN,0.2671626400,0.3275586700
topo,14,C,SYMMETRY,SVR,0.4627641107145877,TRAIN,0.4225708100,0.5055992700
topo,14,C,SYMMETRY,MLP,0.2372864066891337,TRAIN,0.1729196400,0.2881031700
topo,15,C,ACTIVITY,MLR,0.7366627190375848,TRAIN,0.7016656100,0.7597342300
topo,15,C,ACTIVITY,RF,0.6703761180905413,TRAIN,0.6416742100,0.7064586800
topo,15,C,ACTIVITY,SVR,0.7177105089994847,TRAIN,0.6972451600,0.7520371000
topo,15,C,ACTIVITY,MLP,0.7400663951194847,TRAIN,0.7077783100,0.7733809500
topo,15,C,GROWTH,MLR,0.6007629995286322,TRAIN,0.5731173800,0.6493288500
topo,15,C,GROWTH,RF,0.6963908665237147,TRAIN,0.6730098400,0.7186336800
topo,15,C,GROWTH,SVR,0.5991989827437514,TRAIN,0.5484901400,0.6406912200
topo,15,C,GROWTH,MLP,0.642998785174694,TRAIN,0.6162930600,0.6696030600
topo,15,C,SYMMETRY,MLR,0.2162635570296044,TRAIN,0.1899068300,0.2504052800
topo,15,C,SYMMETRY,RF,0.2996517125880344,TRAIN,0.2663785400,0.3337679200
topo,15,C,SYMMETRY,SVR,0.4364279558557101,TRAIN,0.3982549900,0.4702231200
topo,15,C,SYMMETRY,MLP,0.225462686128248,TRAIN,0.1769830600,0.2582456900
topo,0,CH,ACTIVITY,MLR,0.1849005583030911,TRAIN,0.1335234400,0.2335491900
topo,0,CH,ACTIVITY,RF,0.16570712183385175,TRAIN,0.1267919000,0.2045928500
topo,0,CH,ACTIVITY,SVR,0.16675608426016314,TRAIN,0.1003050700,0.2308189900
topo,0,CH,ACTIVITY,MLP,0.2363777970381382,TRAIN,0.1102512000,0.5701923500
topo,0,CH,GROWTH,MLR,0.3176201482403726,TRAIN,0.2697304200,0.3774291800
topo,0,CH,GROWTH,RF,0.26649599510254485,TRAIN,0.2144745000,0.3041014600
topo,0,CH,GROWTH,SVR,0.34034796304773984,TRAIN,0.2781660900,0.3925331900
topo,0,CH,GROWTH,MLP,0.4278406000255917,TRAIN,0.3641732000,0.4712360000
topo,0,CH,SYMMETRY,MLR,0.2317036484275304,TRAIN,0.1931836200,0.2881333600
topo,0,CH,SYMMETRY,RF,0.3197207100177668,TRAIN,0.2862205800,0.3587747600
topo,0,CH,SYMMETRY,SVR,0.2615641978623259,TRAIN,0.2110986500,0.3139466000
topo,0,CH,SYMMETRY,MLP,0.2733879671563437,TRAIN,0.2326735300,0.3099991600
topo,1,CH,ACTIVITY,MLR,0.1966705596840567,TRAIN,0.1527768600,0.2444299800
topo,1,CH,ACTIVITY,RF,0.17026833173906705,TRAIN,0.1423120600,0.2027079000
topo,1,CH,ACTIVITY,SVR,0.29369350402706274,TRAIN,0.2495859500,0.3510535500
topo,1,CH,ACTIVITY,MLP,0.1960272211510473,TRAIN,0.1267388400,0.4604456200
topo,1,CH,GROWTH,MLR,0.3703004109075826,TRAIN,0.3144125600,0.4270909100
topo,1,CH,GROWTH,RF,0.7070077851103079,TRAIN,0.6744750600,0.7449891600
topo,1,CH,GROWTH,SVR,0.3654229563889141,TRAIN,0.3012174500,0.4178800900
topo,1,CH,GROWTH,MLP,0.6493151379440246,TRAIN,0.5544433400,0.7236215500
topo,1,CH,SYMMETRY,MLR,0.2969287499881733,TRAIN,0.2516113000,0.3454351500
topo,1,CH,SYMMETRY,RF,0.23114696437686866,TRAIN,0.1886873200,0.2767569900
topo,1,CH,SYMMETRY,SVR,0.2725163640414048,TRAIN,0.2268198000,0.3080275800
topo,1,CH,SYMMETRY,MLP,0.28872209056658016,TRAIN,0.2422644800,0.3225524100
topo,2,CH,ACTIVITY,MLR,0.22005103038730706,TRAIN,0.1773992000,0.2915018700
topo,2,CH,ACTIVITY,RF,0.2780605912202605,TRAIN,0.2508328500,0.3120637600
topo,2,CH,ACTIVITY,SVR,0.17011443950838093,TRAIN,0.1140852200,0.2249722100
topo,2,CH,ACTIVITY,MLP,0.2672025160497321,TRAIN,0.1175276500,0.6533021200
topo,2,CH,GROWTH,MLR,0.3565674380501963,TRAIN,0.2966754500,0.4116496300
topo,2,CH,GROWTH,RF,0.3118009553391145,TRAIN,0.2470026900,0.3733655100
topo,2,CH,GROWTH,SVR,0.3588174903716884,TRAIN,0.2981545600,0.4092773000
topo,2,CH,GROWTH,MLP,0.6159233051081997,TRAIN,0.5762180200,0.6515695500
topo,2,CH,SYMMETRY,MLR,0.2405144088547133,TRAIN,0.2005881100,0.2876363200
topo,2,CH,SYMMETRY,RF,0.24860038225480705,TRAIN,0.2199034200,0.2725182600
topo,2,CH,SYMMETRY,SVR,0.3667223597567369,TRAIN,0.3291124000,0.4338496600
topo,2,CH,SYMMETRY,MLP,0.28410272432386635,TRAIN,0.2182768000,0.4014029200
topo,3,CH,ACTIVITY,MLR,0.12023592652029808,TRAIN,0.0734946100,0.1634312100
topo,3,CH,ACTIVITY,RF,0.20726905006108967,TRAIN,0.1820776600,0.2288895800
topo,3,CH,ACTIVITY,SVR,0.15962678985853393,TRAIN,0.1222236800,0.2080736200
topo,3,CH,ACTIVITY,MLP,0.2265369631486555,TRAIN,0.1391184600,0.3355705400
topo,3,CH,GROWTH,MLR,0.4394767253410681,TRAIN,0.3925802200,0.4834038300
topo,3,CH,GROWTH,RF,0.301952622632328,TRAIN,0.2648716100,0.3564446500
topo,3,CH,GROWTH,SVR,0.4100662296895479,TRAIN,0.3669347000,0.4966420200
topo,3,CH,GROWTH,MLP,0.4664556509562574,TRAIN,0.4167149500,0.5242385600
topo,3,CH,SYMMETRY,MLR,0.3773726699331223,TRAIN,0.3460989700,0.4142568900
topo,3,CH,SYMMETRY,RF,0.3336647338348208,TRAIN,0.3100301500,0.3508810100
topo,3,CH,SYMMETRY,SVR,0.3521225181623935,TRAIN,0.3110528700,0.3853917500
topo,3,CH,SYMMETRY,MLP,0.3569855092824682,TRAIN,0.3072904200,0.3993155800
topo,4,CH,ACTIVITY,MLR,0.15011563471786546,TRAIN,0.1113472500,0.1891023000
topo,4,CH,ACTIVITY,RF,0.1462794078810982,TRAIN,0.1182128000,0.1775661300
topo,4,CH,ACTIVITY,SVR,0.22112712355366368,TRAIN,0.1547145500,0.2767688500
topo,4,CH,ACTIVITY,MLP,0.2663931950577586,TRAIN,0.1534757100,0.5905766600
topo,4,CH,GROWTH,MLR,0.4279712654373803,TRAIN,0.3773415800,0.4745686400
topo,4,CH,GROWTH,RF,0.3289720141552298,TRAIN,0.2962769500,0.3712229200
topo,4,CH,GROWTH,SVR,0.4201889497048555,TRAIN,0.3630152100,0.4794438000
topo,4,CH,GROWTH,MLP,0.4877971463944852,TRAIN,0.4431330200,0.5386883800
topo,4,CH,SYMMETRY,MLR,0.3252069262582989,TRAIN,0.2783821100,0.3775105300
topo,4,CH,SYMMETRY,RF,0.2836051561690928,TRAIN,0.2671247600,0.3023323000
topo,4,CH,SYMMETRY,SVR,0.3883842766922833,TRAIN,0.3590997500,0.4279924600
topo,4,CH,SYMMETRY,MLP,0.35799463597680603,TRAIN,0.3118495800,0.4059380300
topo,5,CH,ACTIVITY,MLR,0.1158754268094424,TRAIN,0.0653945000,0.1930821300
topo,5,CH,ACTIVITY,RF,0.2777512909292603,TRAIN,0.2551731000,0.3011461700
topo,5,CH,ACTIVITY,SVR,0.20037668863593852,TRAIN,0.1564881300,0.2591460900
topo,5,CH,ACTIVITY,MLP,0.2255688711084864,TRAIN,0.1793827300,0.3355021200
topo,5,CH,GROWTH,MLR,0.4514118865214007,TRAIN,0.3991190200,0.5103566600
topo,5,CH,GROWTH,RF,0.5477538542474653,TRAIN,0.5205730600,0.5899042700
topo,5,CH,GROWTH,SVR,0.4106020343513741,TRAIN,0.3605353900,0.4595282200
topo,5,CH,GROWTH,MLP,0.6313780162885361,TRAIN,0.5541567900,0.6898154600
topo,5,CH,SYMMETRY,MLR,0.2948730127176413,TRAIN,0.2382740300,0.3335054300
topo,5,CH,SYMMETRY,RF,0.2750556376773173,TRAIN,0.2455018300,0.3025439800
topo,5,CH,SYMMETRY,SVR,0.5071898111428396,TRAIN,0.4778610800,0.5495341800
topo,5,CH,SYMMETRY,MLP,0.2848881125603073,TRAIN,0.2439212700,0.3166637900
topo,6,CH,ACTIVITY,MLR,0.2033808024630305,TRAIN,0.1554884400,0.2527684400
topo,6,CH,ACTIVITY,RF,0.14987136744365262,TRAIN,0.1187255400,0.1772936300
topo,6,CH,ACTIVITY,SVR,0.15295602817063952,TRAIN,0.0940468700,0.2021302800
topo,6,CH,ACTIVITY,MLP,0.2284353571893364,TRAIN,0.1552320400,0.4173905500
topo,6,CH,GROWTH,MLR,0.4791954585428682,TRAIN,0.4141429700,0.5386404300
topo,6,CH,GROWTH,RF,0.3810012230896817,TRAIN,0.3535466700,0.4163146100
topo,6,CH,GROWTH,SVR,0.4420408685977844,TRAIN,0.3877957600,0.4906287600
topo,6,CH,GROWTH,MLP,0.6047642585871924,TRAIN,0.4425331400,0.6686660100
topo,6,CH,SYMMETRY,MLR,0.33372099794111104,TRAIN,0.2922634300,0.3789501600
topo,6,CH,SYMMETRY,RF,0.3542293089651098,TRAIN,0.3303388300,0.3852322400
topo,6,CH,SYMMETRY,SVR,0.3892814058423213,TRAIN,0.3375252000,0.4366064600
topo,6,CH,SYMMETRY,MLP,0.3555518146019295,TRAIN,0.3092632900,0.4163646900
topo,7,CH,ACTIVITY,MLR,0.10035888868733632,TRAIN,0.0623311900,0.1406575100
topo,7,CH,ACTIVITY,RF,0.19988602236315847,TRAIN,0.1755138000,0.2292847300
topo,7,CH,ACTIVITY,SVR,0.1603452756409842,TRAIN,0.1115869400,0.2164173100
topo,7,CH,ACTIVITY,MLP,0.3868117267232085,TRAIN,0.1779221400,0.5856956900
topo,7,CH,GROWTH,MLR,0.4885018303714638,TRAIN,0.4369037200,0.5508589700
topo,7,CH,GROWTH,RF,0.3297730530319222,TRAIN,0.2842733900,0.3682891700
topo,7,CH,GROWTH,SVR,0.46434213368515403,TRAIN,0.3923894900,0.5140829200
topo,7,CH,GROWTH,MLP,0.6559020473362174,TRAIN,0.5670655300,0.7344324600
topo,7,CH,SYMMETRY,MLR,0.3602676375239049,TRAIN,0.3054654000,0.3955200900
topo,7,CH,SYMMETRY,RF,0.36316052609365,TRAIN,0.3346372800,0.3909766000
topo,7,CH,SYMMETRY,SVR,0.5345181275507903,TRAIN,0.5054291800,0.5684983200
topo,7,CH,SYMMETRY,MLP,0.3996456214337508,TRAIN,0.3235525900,0.4638035200
topo,8,CH,ACTIVITY,MLR,0.12707324203731,TRAIN,0.0667368300,0.1808145100
topo,8,CH,ACTIVITY,RF,0.16090359228211928,TRAIN,0.1268866500,0.1993531600
topo,8,CH,ACTIVITY,SVR,0.1985145447993643,TRAIN,0.1599190800,0.2449525600
topo,8,CH,ACTIVITY,MLP,0.26528262899062016,TRAIN,0.1549539900,0.6070124900
topo,8,CH,GROWTH,MLR,0.4722052704381131,TRAIN,0.4304698000,0.5168030700
topo,8,CH,GROWTH,RF,0.5695138367457248,TRAIN,0.5262645200,0.6167551200
