timepoint,R^2,set,model,context,response,feature,se
0,0.37812539519215577,TRAIN,MLR,C,GROWTH,topo,0.00782798557401944
0,0.22295257760911755,TEST,MLR,C,GROWTH,topo,0.036642396080628456
0,0.4658596009008651,TRAIN,RF,C,GROWTH,topo,0.00470740128653499
0,0.278361478377802,TEST,RF,C,GROWTH,topo,0.014479827975489433
0,0.5084921811332488,TRAIN,SVR,C,GROWTH,topo,0.004932361771363235
0,0.2161675054165102,TEST,SVR,C,GROWTH,topo,0.014899921800097955
0,0.48684887638982427,TRAIN,MLP,C,GROWTH,topo,0.010473223001455048
0,0.2280704943980571,TEST,MLP,C,GROWTH,topo,0.022976596695738177
0,0.08032707142916976,TRAIN,MLR,C,SYMMETRY,topo,0.003319019834041901
0,-1.0762097760603342,TEST,MLR,C,SYMMETRY,topo,1.0088646365122573
0,0.10276337889318303,TRAIN,RF,C,SYMMETRY,topo,0.0031937163572450084
0,-0.006783924967684152,TEST,RF,C,SYMMETRY,topo,0.006027320475110175
0,0.33701628308776377,TRAIN,SVR,C,SYMMETRY,topo,0.008129746293982804
0,-0.07482455365408489,TEST,SVR,C,SYMMETRY,topo,0.01910674100293718
0,0.06589582386476098,TRAIN,MLP,C,SYMMETRY,topo,0.014793538749103963
0,-0.049502339317970045,TEST,MLP,C,SYMMETRY,topo,0.016965014182742325
0,0.36030239205484155,TRAIN,MLR,C,ACTIVITY,spatial,0.006589044329339829
0,0.2525461911406114,TEST,MLR,C,ACTIVITY,spatial,0.01595092472956723
0,0.4632670011497197,TRAIN,RF,C,ACTIVITY,spatial,0.007897201491628064
0,0.2551784128229603,TEST,RF,C,ACTIVITY,spatial,0.018769117672305106
0,0.5350577582496083,TRAIN,SVR,C,ACTIVITY,spatial,0.010324553511427905
0,0.2073849320565,TEST,SVR,C,ACTIVITY,spatial,0.029493902809124697
0,0.607375053861988,TRAIN,MLP,C,ACTIVITY,spatial,0.010660859927545549
0,0.08474053717055971,TEST,MLP,C,ACTIVITY,spatial,0.06198801890808853
0,0.41722266496700033,TRAIN,MLR,C,GROWTH,spatial,0.008432229034288564
0,0.2584609650601083,TEST,MLR,C,GROWTH,spatial,0.0191537129739577
0,0.4822220211023106,TRAIN,RF,C,GROWTH,spatial,0.008301493860389768
0,0.25840987861880826,TEST,RF,C,GROWTH,spatial,0.022852387248824508
0,0.4258806237185852,TRAIN,SVR,C,GROWTH,spatial,0.00785526683801033
0,0.18812164945836446,TEST,SVR,C,GROWTH,spatial,0.026511850510467835
0,0.4835193301201513,TRAIN,MLP,C,GROWTH,spatial,0.016216305971884303
0,0.22466793215214298,TEST,MLP,C,GROWTH,spatial,0.038117406081575204
0,0.0,TRAIN,MLR,C,SYMMETRY,spatial,0.0
0,-0.00387657530821599,TEST,MLR,C,SYMMETRY,spatial,0.0014464479061307536
0,0.1604495347699707,TRAIN,RF,C,SYMMETRY,spatial,0.002882135675256507
0,-0.01223646049790963,TEST,RF,C,SYMMETRY,spatial,0.007963654812710507
0,0.34161584799050604,TRAIN,SVR,C,SYMMETRY,spatial,0.005264404342383671
0,-0.06350165314584073,TEST,SVR,C,SYMMETRY,spatial,0.015178482204447017
0,0.03655320896791163,TRAIN,MLP,C,SYMMETRY,spatial,0.004676003120118274
0,-0.002116798516355922,TEST,MLP,C,SYMMETRY,spatial,0.006041358492621533
8,0.3393767952106703,TRAIN,MLR,C,ACTIVITY,naive,0.008013603527603781
8,0.2606478636877806,TEST,MLR,C,ACTIVITY,naive,0.020832563025510658
8,0.5532660188989468,TRAIN,RF,C,ACTIVITY,naive,0.00695761872121202
8,0.2756948655310509,TEST,RF,C,ACTIVITY,naive,0.01921771786056155
8,0.5034807268916726,TRAIN,SVR,C,ACTIVITY,naive,0.009788115636926751
8,0.2651687979197449,TEST,SVR,C,ACTIVITY,naive,0.022295598252925614
8,0.4520157805691304,TRAIN,MLP,C,ACTIVITY,naive,0.010449001562506298
8,0.3225818863056925,TEST,MLP,C,ACTIVITY,naive,0.01560508206780317
8,0.5886921022920337,TRAIN,MLR,C,GROWTH,naive,0.006493042390482857
8,0.5576824139535246,TEST,MLR,C,GROWTH,naive,0.01589711842352557
8,0.54342062435578,TRAIN,RF,C,GROWTH,naive,0.004010853396130933
8,0.4714981099176385,TEST,RF,C,GROWTH,naive,0.008574278798454375
8,0.6338996606616749,TRAIN,SVR,C,GROWTH,naive,0.006381360413832582
8,0.5159039717453004,TEST,SVR,C,GROWTH,naive,0.013509405966798943
8,0.6368485524515142,TRAIN,MLP,C,GROWTH,naive,0.007508764398354379
8,0.5799251902205189,TEST,MLP,C,GROWTH,naive,0.012828525367452876
8,0.05531265860869409,TRAIN,MLR,C,SYMMETRY,naive,0.004378492729345322
8,0.033135783902239625,TEST,MLR,C,SYMMETRY,naive,0.004235362616293333
8,0.12957542247285253,TRAIN,RF,C,SYMMETRY,naive,0.005494725053768853
8,0.034486590538142944,TEST,RF,C,SYMMETRY,naive,0.0060246482261841795
8,0.3438079492688827,TRAIN,SVR,C,SYMMETRY,naive,0.0062187884491180755
8,-0.03246405415866642,TEST,SVR,C,SYMMETRY,naive,0.019396672625147958
8,0.09980908895147012,TRAIN,MLP,C,SYMMETRY,naive,0.007655474316764184
8,0.0356351692383854,TEST,MLP,C,SYMMETRY,naive,0.01735278873761469
8,0.41468047563085797,TRAIN,MLR,C,ACTIVITY,topo,0.0066569468878051544
8,0.2886674000579834,TEST,MLR,C,ACTIVITY,topo,0.021255842765144
8,0.49926335855577797,TRAIN,RF,C,ACTIVITY,topo,0.004919653843389038
8,0.2873272916257178,TEST,RF,C,ACTIVITY,topo,0.017080069533019136
8,0.5264982504525115,TRAIN,SVR,C,ACTIVITY,topo,0.008496854386869793
8,0.3086409157915214,TEST,SVR,C,ACTIVITY,topo,0.01886297628987611
8,0.5887390112573746,TRAIN,MLP,C,ACTIVITY,topo,0.006085116364940147
8,0.2884433399377953,TEST,MLP,C,ACTIVITY,topo,0.01435690564914422
8,0.6583292769237946,TRAIN,MLR,C,GROWTH,topo,0.005657989383677651
8,0.5935821046448853,TEST,MLR,C,GROWTH,topo,0.01619399313968412
8,0.6664521550957442,TRAIN,RF,C,GROWTH,topo,0.005245756006230651
8,0.5510866034202179,TEST,RF,C,GROWTH,topo,0.013810102376585998
8,0.7503214278222283,TRAIN,SVR,C,GROWTH,topo,0.003305091762370801
8,0.552715698254165,TEST,SVR,C,GROWTH,topo,0.01620278423028116
8,0.7123753370917568,TRAIN,MLP,C,GROWTH,topo,0.0045387565728926705
8,0.6114042854877921,TEST,MLP,C,GROWTH,topo,0.010911119179849056
8,0.1340392548420747,TRAIN,MLR,C,SYMMETRY,topo,0.005634869771567682
8,0.03892698654970437,TEST,MLR,C,SYMMETRY,topo,0.01114896656865985
8,0.13766770461203523,TRAIN,RF,C,SYMMETRY,topo,0.0032296113402237123
8,0.04730688348284649,TEST,RF,C,SYMMETRY,topo,0.00601640924521087
8,0.36307740026580876,TRAIN,SVR,C,SYMMETRY,topo,0.00670692122584417
8,-0.037302425521859736,TEST,SVR,C,SYMMETRY,topo,0.020011669632932688
8,0.15148185483592785,TRAIN,MLP,C,SYMMETRY,topo,0.016546542958303483
8,-0.04152530594210661,TEST,MLP,C,SYMMETRY,topo,0.02146363314795878
8,0.4323125998304552,TRAIN,MLR,C,ACTIVITY,spatial,0.008259291340925498
8,0.28587808919580765,TEST,MLR,C,ACTIVITY,spatial,0.0243900134675032
8,0.5007267847791701,TRAIN,RF,C,ACTIVITY,spatial,0.007759545418709697
8,0.30951306527871325,TEST,RF,C,ACTIVITY,spatial,0.02184888955850361
8,0.5556624210185932,TRAIN,SVR,C,ACTIVITY,spatial,0.008336554806950933
8,0.30651050115787226,TEST,SVR,C,ACTIVITY,spatial,0.01980348294194475
8,0.6384297583246743,TRAIN,MLP,C,ACTIVITY,spatial,0.008138362666122487
8,0.2607625858657195,TEST,MLP,C,ACTIVITY,spatial,0.018401224326038895
8,0.7179283686630205,TRAIN,MLR,C,GROWTH,spatial,0.004805456639496134
8,0.6551721749844913,TEST,MLR,C,GROWTH,spatial,0.011258417289909665
8,0.6787198449264918,TRAIN,RF,C,GROWTH,spatial,0.002642497683205975
8,0.5514106124140262,TEST,RF,C,GROWTH,spatial,0.00978137417012501
8,0.7403204751602516,TRAIN,SVR,C,GROWTH,spatial,0.0036556744684180867
8,0.6542639070453067,TEST,SVR,C,GROWTH,spatial,0.00999064657977815
8,0.712315322659501,TRAIN,MLP,C,GROWTH,spatial,0.004942282471469401
8,0.6471978771251562,TEST,MLP,C,GROWTH,spatial,0.011310225589682447
8,0.002414284320702842,TRAIN,MLR,C,SYMMETRY,spatial,0.0013247379015846315
8,-0.0030884823585149435,TEST,MLR,C,SYMMETRY,spatial,0.0023395530995778176
8,0.19829159681247335,TRAIN,RF,C,SYMMETRY,spatial,0.0038039020957339555
8,0.0434809045278584,TEST,RF,C,SYMMETRY,spatial,0.007626326240374167
8,0.39378705348037063,TRAIN,SVR,C,SYMMETRY,spatial,0.008625356190711562
8,-0.03855822501379859,TEST,SVR,C,SYMMETRY,spatial,0.010364326593072069
8,0.08356630171470505,TRAIN,MLP,C,SYMMETRY,spatial,0.006385846164660917
8,0.0401518600705426,TEST,MLP,C,SYMMETRY,spatial,0.008403333359145644
15,0.6260650186266928,TRAIN,MLR,C,ACTIVITY,naive,0.00789408864692714
15,0.5510202651837086,TEST,MLR,C,ACTIVITY,naive,0.021751961422489075
15,0.6827046885161765,TRAIN,RF,C,ACTIVITY,naive,0.005383523105863
15,0.4998658413884308,TEST,RF,C,ACTIVITY,naive,0.011388088967757774
15,0.7127712695446784,TRAIN,SVR,C,ACTIVITY,naive,0.004263766100234702
15,0.5440923233374854,TEST,SVR,C,ACTIVITY,naive,0.010009004184826096
15,0.6859324959526604,TRAIN,MLP,C,ACTIVITY,naive,0.006146572665119146
15,0.5795674476890665,TEST,MLP,C,ACTIVITY,naive,0.018516414712974952
15,0.44070882577374126,TRAIN,MLR,C,GROWTH,naive,0.007176380857184137
15,0.3377948272010013,TEST,MLR,C,GROWTH,naive,0.020890250371801512
15,0.4498188934685767,TRAIN,RF,C,GROWTH,naive,0.006395392326021631
15,0.305765377094074,TEST,RF,C,GROWTH,naive,0.01843477966564777
15,0.5156069913636113,TRAIN,SVR,C,GROWTH,naive,0.00693256102390562
15,0.36685319581083575,TEST,SVR,C,GROWTH,naive,0.020431888700323808
15,0.5348761987748496,TRAIN,MLP,C,GROWTH,naive,0.009012684821961225
15,0.4343838706201487,TEST,MLP,C,GROWTH,naive,0.012724780269843168
15,0.14911394661702765,TRAIN,MLR,C,SYMMETRY,naive,0.007433143425444461
15,0.06058468670658444,TEST,MLR,C,SYMMETRY,naive,0.017386363807523918
15,0.1683686559639951,TRAIN,RF,C,SYMMETRY,naive,0.005610386820109524
15,0.053010688085382854,TEST,RF,C,SYMMETRY,naive,0.012859105700704926
15,0.3933821301685999,TRAIN,SVR,C,SYMMETRY,naive,0.006140552335071725
15,0.07414948973753861,TEST,SVR,C,SYMMETRY,naive,0.02080720545980606
15,0.18742485142586435,TRAIN,MLP,C,SYMMETRY,naive,0.006104433812744751
15,0.15413886771480018,TEST,MLP,C,SYMMETRY,naive,0.010350668158607848
15,0.7026118504629626,TRAIN,MLR,C,ACTIVITY,topo,0.00407845485931416
15,0.6464602020007162,TEST,MLR,C,ACTIVITY,topo,0.009619730574769786
15,0.6620176393616235,TRAIN,RF,C,ACTIVITY,topo,0.005666969075943792
15,0.5579733324166611,TEST,RF,C,ACTIVITY,topo,0.01152592130854966
15,0.756522214062158,TRAIN,SVR,C,ACTIVITY,topo,0.0048632610356113175
15,0.5940026479885647,TEST,SVR,C,ACTIVITY,topo,0.011560998272905881
15,0.7278638195643137,TRAIN,MLP,C,ACTIVITY,topo,0.0025067850684405662
15,0.6484870283172043,TEST,MLP,C,ACTIVITY,topo,0.009371015132436631
15,0.6071823033854468,TRAIN,MLR,C,GROWTH,topo,0.0046770212192391095
15,0.3450194836066431,TEST,MLR,C,GROWTH,topo,0.038644794467397416
15,0.5659914100425661,TRAIN,RF,C,GROWTH,topo,0.003044159933933671
15,0.38983748469356194,TEST,RF,C,GROWTH,topo,0.011659059550187655
15,0.6552560475214109,TRAIN,SVR,C,GROWTH,topo,0.00602947948833741
15,0.43884700956757355,TEST,SVR,C,GROWTH,topo,0.014865434375715823
15,0.664455567723188,TRAIN,MLP,C,GROWTH,topo,0.006114748193057153
15,0.46703856924536213,TEST,MLP,C,GROWTH,topo,0.021778155546387554
15,0.22887970323851975,TRAIN,MLR,C,SYMMETRY,topo,0.00936947057568309
15,0.1578323399909815,TEST,MLR,C,SYMMETRY,topo,0.017881001695010775
15,0.21613985521586598,TRAIN,RF,C,SYMMETRY,topo,0.006257381965735879
15,0.11778964382903252,TEST,RF,C,SYMMETRY,topo,0.014287450325803319
15,0.4326912058794588,TRAIN,SVR,C,SYMMETRY,topo,0.007267728275798924
15,0.07661211201505137,TEST,SVR,C,SYMMETRY,topo,0.020995207772257597
15,0.22705803427545374,TRAIN,MLP,C,SYMMETRY,topo,0.005660182286088068
15,0.1374887606187183,TEST,MLP,C,SYMMETRY,topo,0.014658665217402366
15,0.7205379676890373,TRAIN,MLR,C,ACTIVITY,spatial,0.004144586049371348
15,0.6521823146756689,TEST,MLR,C,ACTIVITY,spatial,0.01360280667990129
15,0.672430649702105,TRAIN,RF,C,ACTIVITY,spatial,0.006084149417826292
15,0.57165054324258,TEST,RF,C,ACTIVITY,spatial,0.01602054070629438
15,0.767396954538805,TRAIN,SVR,C,ACTIVITY,spatial,0.0033864983746139266
15,0.6215037721715821,TEST,SVR,C,ACTIVITY,spatial,0.010454033766170611
15,0.7597620310380317,TRAIN,MLP,C,ACTIVITY,spatial,0.005367441098565712
15,0.642643497957794,TEST,MLP,C,ACTIVITY,spatial,0.013291492036537431
15,0.5962553748315211,TRAIN,MLR,C,GROWTH,spatial,0.005418727629849506
15,0.48797901094819407,TEST,MLR,C,GROWTH,spatial,0.033179589504741515
15,0.5715743577192102,TRAIN,RF,C,GROWTH,spatial,0.003103930693834844
15,0.41614453947179586,TEST,RF,C,GROWTH,spatial,0.016572469086073367
15,0.6293579699852787,TRAIN,SVR,C,GROWTH,spatial,0.00647750398823981
15,0.4925268198241314,TEST,SVR,C,GROWTH,spatial,0.014636678998525712
15,0.6403776369300966,TRAIN,MLP,C,GROWTH,spatial,0.009536287617742459
15,0.4601321881067416,TEST,MLP,C,GROWTH,spatial,0.02237323835646228
15,0.07631175797106408,TRAIN,MLR,C,SYMMETRY,spatial,0.007213900302070433
15,0.0648328137071945,TEST,MLR,C,SYMMETRY,spatial,0.006872003604715729
15,0.2681660057450605,TRAIN,RF,C,SYMMETRY,spatial,0.004728520039413343
15,0.11416752765820064,TEST,RF,C,SYMMETRY,spatial,0.00870789030738248
15,0.44521353656258233,TRAIN,SVR,C,SYMMETRY,spatial,0.007710876910047306
15,0.09393891642158075,TEST,SVR,C,SYMMETRY,spatial,0.01625129354874549
15,0.19853860012686816,TRAIN,MLP,C,SYMMETRY,spatial,0.01272118544761045
15,0.15539051699550782,TEST,MLP,C,SYMMETRY,spatial,0.02793920304869879
0,0.1199603056976696,TRAIN,MLR,CH,ACTIVITY,naive,0.004363027631334417
0,0.06715162183851546,TEST,MLR,CH,ACTIVITY,naive,0.007709711550811723
0,0.1381013669599196,TRAIN,RF,CH,ACTIVITY,naive,0.005731033799140672
0,0.043035604826195936,TEST,RF,CH,ACTIVITY,naive,0.009061315321216323
0,0.08028376789992998,TRAIN,SVR,CH,ACTIVITY,naive,0.004204392070472089
0,0.03299093066175292,TEST,SVR,CH,ACTIVITY,naive,0.005955130966554965
0,0.12349801034256971,TRAIN,MLP,CH,ACTIVITY,naive,0.008903235841941607
0,0.027961603127841895,TEST,MLP,CH,ACTIVITY,naive,0.016151676119807407
0,0.19779048266501786,TRAIN,MLR,CH,GROWTH,naive,0.013105707167382356
0,0.10938533877628767,TEST,MLR,CH,GROWTH,naive,0.03477006251546309
0,0.44029428264012227,TRAIN,RF,CH,GROWTH,naive,0.006818956529240602
0,0.17015074676449157,TEST,RF,CH,GROWTH,naive,0.01666079123853833
0,0.41663519042999153,TRAIN,SVR,CH,GROWTH,naive,0.009225309008517072
0,0.16779074138916888,TEST,SVR,CH,GROWTH,naive,0.019270146789861706
0,0.3672860730592839,TRAIN,MLP,CH,GROWTH,naive,0.0067184422538714905
0,0.22014889131555107,TEST,MLP,CH,GROWTH,naive,0.015201252636446295
0,0.1427788553310489,TRAIN,MLR,CH,SYMMETRY,naive,0.0023961647203493653
0,0.07419115864502439,TEST,MLR,CH,SYMMETRY,naive,0.008364553125558583
0,0.30533475466490156,TRAIN,RF,CH,SYMMETRY,naive,0.003242146175783447
0,0.10829232454219422,TEST,RF,CH,SYMMETRY,naive,0.007723102454837978
0,0.13431717800888338,TRAIN,SVR,CH,SYMMETRY,naive,0.0068941954922842365
0,0.1008182973971552,TEST,SVR,CH,SYMMETRY,naive,0.012617992573066174
0,0.30018620837365556,TRAIN,MLP,CH,SYMMETRY,naive,0.008189206894426182
0,0.11683625797404254,TEST,MLP,CH,SYMMETRY,naive,0.016839045178099993
0,0.17452533843090573,TRAIN,MLR,CH,ACTIVITY,topo,0.013526370922756286
0,0.06586138685860529,TEST,MLR,CH,ACTIVITY,topo,0.02393922077646601
0,0.16437692915504393,TRAIN,RF,CH,ACTIVITY,topo,0.004060687536939671
0,0.07442068703128997,TEST,RF,CH,ACTIVITY,topo,0.006901809582482989
0,0.14530898900535014,TRAIN,SVR,CH,ACTIVITY,topo,0.007075864110877287
0,0.05350370717073173,TEST,SVR,CH,ACTIVITY,topo,0.010561410078667384
0,0.23014789166733046,TRAIN,MLP,CH,ACTIVITY,topo,0.026917148241719896
0,0.010734140340915077,TEST,MLP,CH,ACTIVITY,topo,0.02843694377970028
0,0.3215757785662462,TRAIN,MLR,CH,GROWTH,topo,0.010773255728694094
0,0.18849295198515492,TEST,MLR,CH,GROWTH,topo,0.0388888885024214
0,0.25281364445781424,TRAIN,RF,CH,GROWTH,topo,0.007780872556010247
0,0.18927798022634623,TEST,RF,CH,GROWTH,topo,0.011651231896461516
0,0.3577050263461626,TRAIN,SVR,CH,GROWTH,topo,0.011533165085994551
0,0.1734254908824729,TEST,SVR,CH,GROWTH,topo,0.020360390071173507
0,0.42601770611324313,TRAIN,MLP,CH,GROWTH,topo,0.00934421440062151
0,0.18955999542268726,TEST,MLP,CH,GROWTH,topo,0.02989824896729941
0,0.22256028186290172,TRAIN,MLR,CH,SYMMETRY,topo,0.008094764905514135
0,0.05761720870077972,TEST,MLR,CH,SYMMETRY,topo,0.039797900646706026
0,0.31351086603617295,TRAIN,RF,CH,SYMMETRY,topo,0.003712686646938954
0,0.09954253933620523,TEST,RF,CH,SYMMETRY,topo,0.007284496332277706
0,0.28608023721529935,TRAIN,SVR,CH,SYMMETRY,topo,0.008557790058660421
0,-0.036117265662159226,TEST,SVR,CH,SYMMETRY,topo,0.048176367564880654
0,0.2793147956047661,TRAIN,MLP,CH,SYMMETRY,topo,0.011213199756291864
0,0.049819380491673525,TEST,MLP,CH,SYMMETRY,topo,0.02900249391861865
0,0.10774184990463118,TRAIN,MLR,CH,ACTIVITY,spatial,0.009364377734163345
0,0.029302312350089565,TEST,MLR,CH,ACTIVITY,spatial,0.010038453311043258
0,0.15283326429118982,TRAIN,RF,CH,ACTIVITY,spatial,0.004381402300577858
0,0.07856895189909668,TEST,RF,CH,ACTIVITY,spatial,0.012389737420101403
0,0.19596566136586252,TRAIN,SVR,CH,ACTIVITY,spatial,0.0076275715966664945
0,0.04235527644715191,TEST,SVR,CH,ACTIVITY,spatial,0.009374194702421575
0,0.38895341563541164,TRAIN,MLP,CH,ACTIVITY,spatial,0.056331256349458424
0,-0.08743944956097142,TEST,MLP,CH,ACTIVITY,spatial,0.0532634063884711
0,0.466776034296442,TRAIN,MLR,CH,GROWTH,spatial,0.010888735778992353
0,0.34755258488869234,TEST,MLR,CH,GROWTH,spatial,0.033674338482784436
0,0.3706702899613471,TRAIN,RF,CH,GROWTH,spatial,0.011609350671933166
0,0.1773423206578651,TEST,RF,CH,GROWTH,spatial,0.01715408044872986
0,0.47301876504044493,TRAIN,SVR,CH,GROWTH,spatial,0.010532522582941512
0,0.1908960236988142,TEST,SVR,CH,GROWTH,spatial,0.07760283904383243
0,0.5494063165778132,TRAIN,MLP,CH,GROWTH,spatial,0.007814826182416744
0,0.22490161928278263,TEST,MLP,CH,GROWTH,spatial,0.0366343251440338
0,0.29457481842140043,TRAIN,MLR,CH,SYMMETRY,spatial,0.009735276240721413
0,0.12253858260266556,TEST,MLR,CH,SYMMETRY,spatial,0.05932771669187602
0,0.35462987651687516,TRAIN,RF,CH,SYMMETRY,spatial,0.005134744074698413
0,0.08625389045625863,TEST,RF,CH,SYMMETRY,spatial,0.01800312468545857
0,0.2992689061109858,TRAIN,SVR,CH,SYMMETRY,spatial,0.008948399663713509
0,0.06666183705213043,TEST,SVR,CH,SYMMETRY,spatial,0.03519887630322081
0,0.36589469117509144,TRAIN,MLP,CH,SYMMETRY,spatial,0.005936813461798992
0,0.13446631247913413,TEST,MLP,CH,SYMMETRY,spatial,0.0209769325943001
8,0.14000158164808352,TRAIN,MLR,CH,ACTIVITY,naive,0.004344253535644294
8,0.045229624892941925,TEST,MLR,CH,ACTIVITY,naive,0.018806989257938802
8,0.12654055191888233,TRAIN,RF,CH,ACTIVITY,naive,0.005040729649083806
8,0.0525374629858227,TEST,RF,CH,ACTIVITY,naive,0.005965577083515759
8,0.08457598338068786,TRAIN,SVR,CH,ACTIVITY,naive,0.006889567039349601
8,0.06856833639806915,TEST,SVR,CH,ACTIVITY,naive,0.005203325480970666
8,0.1416725219150799,TRAIN,MLP,CH,ACTIVITY,naive,0.019699908081655008
8,0.05082625398868533,TEST,MLP,CH,ACTIVITY,naive,0.03002323706229582
8,0.31713559782016876,TRAIN,MLR,CH,GROWTH,naive,0.009520282423839834
8,0.23498177495724795,TEST,MLR,CH,GROWTH,naive,0.027147129503392455
8,0.4886102594529665,TRAIN,RF,CH,GROWTH,naive,0.00895931739512618
8,0.19548612117343359,TEST,RF,CH,GROWTH,naive,0.017095808148426823
8,0.4765170925241106,TRAIN,SVR,CH,GROWTH,naive,0.003971033165409003
8,0.24256966001001237,TEST,SVR,CH,GROWTH,naive,0.01207136690959377
8,0.4281274945201926,TRAIN,MLP,CH,GROWTH,naive,0.011689866304629131
8,0.21080008139054351,TEST,MLP,CH,GROWTH,naive,0.02833048343395612
8,0.2421989074653792,TRAIN,MLR,CH,SYMMETRY,naive,0.007591188177482355
8,0.17195345600908038,TEST,MLR,CH,SYMMETRY,naive,0.016838317763337052
8,0.3500366588770089,TRAIN,RF,CH,SYMMETRY,naive,0.0032833137919776254
8,0.14974320855252576,TEST,RF,CH,SYMMETRY,naive,0.011671529056706103
8,0.24293944687477537,TRAIN,SVR,CH,SYMMETRY,naive,0.005190735814097778
8,0.18533887590143724,TEST,SVR,CH,SYMMETRY,naive,0.0100429975246332
8,0.34694406761840174,TRAIN,MLP,CH,SYMMETRY,naive,0.0145701038085898
8,0.16084984826864748,TEST,MLP,CH,SYMMETRY,naive,0.01901944056646452
8,0.20099539917331097,TRAIN,MLR,CH,ACTIVITY,topo,0.0056737166097051575
8,0.07015665408587743,TEST,MLR,CH,ACTIVITY,topo,0.0107342430379831
8,0.16243613109714589,TRAIN,RF,CH,ACTIVITY,topo,0.00580451767332655
8,0.07496221885808432,TEST,RF,CH,ACTIVITY,topo,0.0077810551503481274
8,0.15069332871668412,TRAIN,SVR,CH,ACTIVITY,topo,0.006034559157992765
8,0.050160281601840176,TEST,SVR,CH,ACTIVITY,topo,0.00964720792787533
8,0.3566595223565079,TRAIN,MLP,CH,ACTIVITY,topo,0.0544698572433309
8,-0.045760884765633635,TEST,MLP,CH,ACTIVITY,topo,0.06124332765044886
8,0.4148551317501729,TRAIN,MLR,CH,GROWTH,topo,0.004320658201191208
8,0.3368669173596379,TEST,MLR,CH,GROWTH,topo,0.007179109716781148
8,0.2684899844710883,TRAIN,RF,CH,GROWTH,topo,0.0070373986085856795
8,0.17489507265632928,TEST,RF,CH,GROWTH,topo,0.008386312027769996
8,0.46755183674773093,TRAIN,SVR,CH,GROWTH,topo,0.012156379108053022
8,0.22171554669482366,TEST,SVR,CH,GROWTH,topo,0.02514590403093709
8,0.5458132240281117,TRAIN,MLP,CH,GROWTH,topo,0.00430351375756372
8,0.2868029045194315,TEST,MLP,CH,GROWTH,topo,0.016686655203588016
8,0.342122985618469,TRAIN,MLR,CH,SYMMETRY,topo,0.009195941144340681
8,0.25746289570128306,TEST,MLR,CH,SYMMETRY,topo,0.021348107099953523
8,0.3612109095118574,TRAIN,RF,CH,SYMMETRY,topo,0.004081730629910533
8,0.12478262476184505,TEST,RF,CH,SYMMETRY,topo,0.007943009995711958
8,0.4115120958979818,TRAIN,SVR,CH,SYMMETRY,topo,0.008492973932555624
