feature,timepoint,context,response,model,train_r2s,R^2,test_r2s,num_observations,set,se_lower,se_upper
topo,0,C,ACTIVITY,SVR,"[0.6234695295288193, 0.5605917918170991, 0.4008201559779879, 0.5633183726838751, 0.5659913773593199, 0.6101945894090234, 0.5834308211125039, 0.6316841570363863, 0.5382320909476477, 0.5998140949755563]",0.5677546980848219,"[0.25421213684087374, -0.10572066052731, 0.20807839587909416, 0.3838429226152793, -0.15534801685727717, 0.23139096575517448, 0.21742740619585532, 0.2411555233062329, 0.129396341073022, 0.00919142265320294]",150,TRAIN,0.5479863821493918,0.5875230140202521
topo,0,C,ACTIVITY,MLP,"[0.36194730574859835, 0.36796890900421797, 0.4507690973717813, 0.4001797476876511, 0.4637987570908799, 0.5232920447078286, 0.42168152431939065, 0.4234358189887054, 0.270140492041102, 0.36145252160948094]",0.4044666218569637,"[0.056162382019852464, 0.22811913321817778, 0.05421811708079349, -0.2658840643683129, 0.16715143516839037, 0.11946068575688906, -0.15152500339257902, 0.2584448283190941, 0.24895004312067215, 0.0018268689537845884]",150,TRAIN,0.38361189565883946,0.4253213480550879
topo,0,C,ACTIVITY,MLR,"[0.3562819854077822, 0.4361093827132879, 0.32850475488477604, 0.48045834437359713, 0.36719481109347574, 0.3501920358894993, 0.2950997641442813, 0.36377094274556154, 0.4350880141119905, 0.38177629862852636]",0.3794476333992778,"[0.12253885920138763, -1.3508675587478005, 0.13878127231274684, 0.16668618428048376, 0.2717564252877175, 0.15341662064717232, 0.005026691004864525, 0.13325515876142435, -1.3777382419305075, -0.020767519505012544]",200,TRAIN,0.3627105011328177,0.39618476566573785
topo,0,C,ACTIVITY,RF,"[0.4247850206290521, 0.46489931281271135, 0.5073362502476386, 0.5529688088166149, 0.46080430666133687, 0.49643584958768106, 0.5344232694284126, 0.4946881133198594, 0.4536831224452229, 0.5496521112348245]",0.4939676165183354,"[0.2074461105026667, 0.11859172921027106, 0.20339623081142266, 0.20868327682629673, 0.2567659810036884, 0.16675178163521542, 0.18381379267554077, 0.26623119807128304, 0.02052327238007312, -0.016861260611537254]",200,TRAIN,0.4810224480789353,0.5069127849577354
topo,0,C,ACTIVITY,SVR,"[0.5514181113318208, 0.48457676214863, 0.5307266576200629, 0.6361552626537182, 0.5223344298065358, 0.6031108226713982, 0.5820622176129348, 0.5449408410004711, 0.5453157569689252, 0.5892796973785137]",0.558992055919301,"[0.014357448009339802, -0.04913856063143962, 0.3185563255543127, 0.27763035356463783, 0.09761803831245464, 0.07807185232558311, 0.059396779226948526, 0.26438514904154253, 0.14953053356717294, 0.1834862996065546]",200,TRAIN,0.5457737382088285,0.5722103736297736
topo,0,C,ACTIVITY,MLP,"[0.5011722842340768, 0.5223712092845973, 0.42885032187206273, 0.33043049197255936, 0.44863385879789974, 0.4287750727146926, 0.3191951284099347, 0.3385864981275535, 0.20842011737992494, 0.36677875268213256]",0.38932137354754337,"[0.12384832738367912, -0.034390635309803796, 0.2067284281672923, -0.21773097476881587, 0.19426113881528084, 0.061704849438049325, 0.21852210706461683, 0.21668551868012542, 0.13173354949648342, 0.11285343200599285]",200,TRAIN,0.3608532727918876,0.4177894743031991
topo,0,C,ACTIVITY,MLR,"[0.3755476890926126, 0.4791922118615911, 0.3639407423442259, 0.4051335513840968, 0.4665239168798928, 0.4324659516187843, 0.38975058397198636, 0.2865813812665685, 0.34089189283969923, 0.3317559646490672]",0.3871783885908525,"[0.3102326159298707, 0.2602944098388602, 0.1360057635985925, 0.11515753114289551, -3.5562211876028416, 0.18089681795590207, 0.04673907910140629, 0.1970971269552635, 0.20006730441917164, 0.12191811817354348]",250,TRAIN,0.368970882452341,0.40538589472936404
topo,0,C,ACTIVITY,RF,"[0.4005497829950603, 0.4645854102850152, 0.47728322873012696, 0.4536002057514037, 0.4676347584259951, 0.4646788262363354, 0.4301205559949657, 0.4644655439075771, 0.43360499413642273, 0.401186894145499]",0.4457710200608401,"[0.18745845277985074, 0.40673392147669396, 0.059904899214510476, 0.032661805693527834, 0.30897446452031785, 0.1506267510766207, 0.20181851630918535, 0.11174781483747709, 0.19406626499185375, 0.18647138689023013]",250,TRAIN,0.43739309435545626,0.4541489457662239
topo,0,C,ACTIVITY,SVR,"[0.5762557093907543, 0.5753313262052365, 0.5275901198456675, 0.6145616729829699, 0.5043106991167583, 0.4597161447767095, 0.6037218169015584, 0.48926093108492585, 0.5258827341262056, 0.5267707557779451]",0.5403401910208729,"[0.10840176539904012, 0.02722790355222482, 0.15860253896240228, 0.18689562186364572, 0.09239281841800162, 0.4017619177713466, 0.09135764300658533, 0.13309258206972063, 0.12222073979699433, 0.30278406689313375]",250,TRAIN,0.5251732774429242,0.5555071045988217
topo,0,C,ACTIVITY,MLP,"[0.4101072412585465, 0.3673159527892824, 0.47541164348352194, 0.501595000320272, 0.5797611889284718, 0.5166452551323197, 0.3551307904906702, 0.5680074962022297, 0.550921045648554, 0.3984389454756557]",0.4723334559729525,"[0.013073872840395961, 0.17667018593170525, 0.23150577349572732, 0.2793203384018893, 0.26288172532383347, 0.20459511798246233, 0.10384322835626913, -0.2741944656073576, 0.10878048008820496, 0.18866214897115097]",250,TRAIN,0.4470753604303627,0.4975915515155423
topo,0,C,ACTIVITY,MLR,"[0.34500726902320444, 0.4347654337078749, 0.3706947087011716, 0.36548250667876625, 0.3158616149755664, 0.3349728910782469, 0.3255133924706277, 0.32941144929683064, 0.35061271211049294, 0.3689347282025084]",0.35412567062452904,"[0.2275329185162278, -0.8516371736395028, 0.3194746533501155, 0.22027270064480364, 0.20970810428467324, 0.08470699049535202, 0.2919303220664822, 0.22750207812041712, 0.08795238954576567, 0.26171694673590473]",300,TRAIN,0.3438877516144154,0.36436358963464266
topo,0,C,ACTIVITY,RF,"[0.40171918452656985, 0.48954020261143605, 0.5031702536112228, 0.4040233822895839, 0.3956996355301414, 0.40190440392429216, 0.4227077827237238, 0.4202495053973093, 0.45526400022769187, 0.4639567639959309]",0.43582351148379017,"[0.3125620277853539, 0.04828889174740891, -0.06560808871665458, 0.2814513282189738, 0.23414838297687224, 0.2986130583338328, 0.2924924686052388, 0.17074789385786915, 0.10512434965279571, 0.34813952212000465]",300,TRAIN,0.42401680334814346,0.4476302196194369
topo,0,C,ACTIVITY,SVR,"[0.5172100327177451, 0.5442393833030273, 0.49761302328628076, 0.47200467374151844, 0.5637738386021776, 0.5089530077646144, 0.5245530628970414, 0.5828597153024011, 0.5316928641238873, 0.5450869491150943]",0.5287986550853788,"[0.2992422135836018, 0.14944831116357538, 0.18359899873013097, 0.032002889249245214, 0.09825749626128, 0.21152558679079914, 0.31323902018792027, 0.1867930141747851, 0.25571617914144595, 0.27854610138448654]",300,TRAIN,0.519102143528816,0.5384951666419416
topo,0,C,ACTIVITY,MLP,"[0.5536324728846016, 0.536423828621782, 0.4624870978853447, 0.5325329822413252, 0.5868624351950767, 0.44700118117092313, 0.5147398969574127, 0.480324184378084, 0.5809799737738643, 0.5809269545325324]",0.5275911007640947,"[0.2283543280569983, 0.24487062565688134, 0.2883158451783615, 0.26283424885186235, 0.15062644738886166, 0.16098588957758064, 0.19491958120962438, 0.12269262226698896, 0.11950245963451134, -0.04969368982593836]",300,TRAIN,0.5123853947185518,0.5427968068096375
topo,0,C,ACTIVITY,MLR,"[0.3205773754760558, 0.3773391902770409, 0.31218777197522185, 0.2861417517024186, 0.3275951799347845, 0.28992080460427594, 0.38075933485842295, 0.3239850214746972, 0.2994869720936, 0.3633107340786017]",0.32813041364751194,"[0.2023738666056184, 0.17677821339825095, 0.2585441495601922, 0.29307899947318405, 0.07110023671353094, -2.5054870341580733, 0.21804914255202668, 0.23595153288750137, 0.21064687909299207, 0.21778168023027267]",350,TRAIN,0.3177375710861305,0.3385232562088934
topo,0,C,ACTIVITY,RF,"[0.46611498010314556, 0.451662527262506, 0.3672889641889604, 0.41111247636360404, 0.42543305876934, 0.3589516954398194, 0.42704888250742845, 0.39296058719957716, 0.39571138311725107, 0.40754921875246986]",0.4103833773704103,"[0.29140488855485913, 0.2112605931559033, 0.24849915582441418, 0.30311022644510377, 0.2545751305689715, 0.35351696535427724, 0.2368744426032261, 0.2749551561692404, 0.2612705969234581, 0.3056592256432631]",350,TRAIN,0.4002128596070745,0.42055389513374614
topo,0,C,ACTIVITY,SVR,"[0.5480668934875065, 0.4206158683959962, 0.5659998315349568, 0.5160824213307247, 0.5438341388043877, 0.586166928887458, 0.5166644354485042, 0.5009813033610981, 0.5705404301003039, 0.5339639535765591]",0.5302916204927495,"[0.18406167066738888, 0.4182337971299236, 0.19978894160724425, 0.10954175420267542, 0.3682487300207594, 0.2830103960704452, 0.23798179393044294, 0.29511414973313765, -0.016694522442852744, 0.2754735474775386]",350,TRAIN,0.5162184523836121,0.5443647886018869
topo,0,C,ACTIVITY,MLP,"[0.47953144310557405, 0.4714446054975301, 0.5712108019276045, 0.45796005773174886, 0.5474830682212086, 0.4202779169006332, 0.4965371650904674, 0.4990552095305103, 0.5306540272701123, 0.49628223782794856]",0.4970436533103338,"[0.1262006796322942, 0.2018341826318285, 0.12987712448456967, 0.21841901348074733, -0.0432943726714361, 0.16170281420086385, 0.0668820953046243, 0.18805103208175467, 0.23922722325155166, 0.3746098116094363]",350,TRAIN,0.4837915082478858,0.5102957983727817
topo,0,C,ACTIVITY,MLR,"[0.35917572377848994, 0.3534715440122024, 0.3189814956499748, 0.35677787108532755, 0.3840070520062556, 0.3223116617149412, 0.3574688391092151, 0.3202571025179036, 0.3530598870967139, 0.3018568629610676]",0.3427368039932092,"[0.1784196369447052, 0.17508333441279944, 0.32153322719207933, 0.22037794627444274, 0.19134802722476307, 0.20669476860384284, 0.15427304371435047, 0.15393613228739267, 0.1311224592400524, 0.2711971695901838]",400,TRAIN,0.3351424217040912,0.35033118628232723
topo,0,C,ACTIVITY,RF,"[0.4058925299390266, 0.4222157806514938, 0.43282142625246456, 0.37140335036289973, 0.4137488204744265, 0.3882810391895978, 0.4108063160771718, 0.4167571944800964, 0.38553746842133085, 0.40173234423285675]",0.4049196270081365,"[0.2721992542132706, 0.16989614895691063, 0.13912840020246642, 0.35983593453080576, 0.25680451701066176, 0.2303472823327073, 0.2187172543499737, 0.22932409475045756, 0.3200087142359732, 0.3354951077194077]",400,TRAIN,0.3993362947693375,0.4105029592469355
topo,0,C,ACTIVITY,SVR,"[0.5141297903893657, 0.5416349494865149, 0.5384801728953446, 0.5137910973342148, 0.49235767411748677, 0.5189877481781111, 0.5492704244351168, 0.46082129896922297, 0.5379155259144104, 0.4640772077666624]",0.5131465889486451,"[0.2031159534246254, 0.1948947593347582, 0.21557694467125432, 0.2663959538001617, 0.2722689134302473, 0.14889789617506688, 0.20717826101378933, 0.35631727943354996, 0.04365886503319716, 0.3154203885394483]",400,TRAIN,0.5036675440449987,0.5226256338522914
topo,0,C,ACTIVITY,MLP,"[0.4445642510059904, 0.5229834257525388, 0.5436278128991676, 0.5271191588948577, 0.5528978101092086, 0.599062819310904, 0.4812855615050493, 0.5423289166409687, 0.5953045046336054, 0.40137253453548505]",0.5210546795287776,"[0.2996467271859804, 0.2179041542666249, 0.2925849382352885, 0.1604681521859629, 0.05400464004139227, 0.10381131704987023, 0.24051738055208882, 0.16890543265407987, 0.26333541106601743, 0.2540761425325436]",400,TRAIN,0.5022474699838854,0.5398618890736698
topo,0,C,ACTIVITY,MLR,"[0.3513622542735363, 0.2985273236088051, 0.2964774654573291, 0.2928121547622333, 0.34280645300369317, 0.36287640221181827, 0.35250719143918574, 0.2920447681172377, 0.37390605824512413, 0.39806181470837665]",0.3361381885827339,"[0.2072855585069573, 0.2719525450811592, 0.30968025976235847, 0.3230065260328311, 0.1591724737025656, 0.184213622279205, 0.15962487581921891, 0.26950461385622226, 0.1678102176217039, 0.09002727038673963]",450,TRAIN,0.32459306547451294,0.3476833116909549
topo,0,C,ACTIVITY,RF,"[0.39511256215419566, 0.36794343262548934, 0.3874550326408033, 0.40002466418857885, 0.394254554374445, 0.376910076161453, 0.4050190628777134, 0.4051703187428045, 0.3595601035210052, 0.40138257162331736]",0.3892832378909806,"[0.20588202760533647, 0.2920983376099645, 0.25051003619309775, 0.1902731745042615, 0.22624601594928884, 0.29582417774432834, 0.11505164006776836, 0.20463025955881253, 0.2750309632390828, 0.17568433762014657]",450,TRAIN,0.38447099088797915,0.3940954848939821
topo,0,C,ACTIVITY,SVR,"[0.5227235651287301, 0.5670301465199422, 0.5368559710208758, 0.48124024322236614, 0.5031937075982913, 0.5279715848514842, 0.5301336523438052, 0.5193237513487885, 0.49534719582170195, 0.48878637605059283]",0.5172606193906578,"[0.20302100131930811, 0.12213679525387489, 0.1559411628307048, 0.19384792072054569, 0.2555563978555191, 0.18744177417944397, 0.10668654927829135, 0.22709806887820128, 0.26837054043405695, 0.2078098290347421]",450,TRAIN,0.5095393177793391,0.5249819210019765
topo,0,C,ACTIVITY,MLP,"[0.543285099667202, 0.4077028736044813, 0.4382718847704796, 0.5505855747109681, 0.49829051322435747, 0.47589967020044843, 0.524565017651649, 0.5278863772339283, 0.5465928782599928, 0.5103679993304147]",0.5023447888653922,"[0.12515810855844978, 0.3379968938366439, 0.2417357189104412, 0.1294483206158068, 0.1652028959207622, 0.18017711153680616, 0.31479649307701285, 0.14116972694930585, 0.19908502452972188, 0.2724919555009149]",450,TRAIN,0.4878707190479314,0.5168188586828532
topo,0,C,ACTIVITY,MLR,"[0.2959526722357435, 0.22750981948854343, 0.31754808224187936, 0.3304733901135445, 0.2999074310402209, 0.32651089358306584, 0.34200886027619914, 0.32570015104853234, 0.3045875692076482, 0.347790098383032]",0.3117988967618409,"[0.2714424897525515, 0.2758491905674779, 0.2461170748778464, 0.1720490036292348, 0.2665270125699458, 0.2067245980784419, 0.169638582242985, 0.13990412546484976, -0.7828652010032493, 0.20887830065344848]",500,TRAIN,0.301528235815275,0.32206955770840684
topo,0,C,ACTIVITY,RF,"[0.39979856405282177, 0.4028103907639272, 0.3656186278482988, 0.40818775999435686, 0.42142999545499327, 0.3652387551430496, 0.37817056039754127, 0.397659559167837, 0.3908169597706256, 0.3928213789491579]",0.39225525515426096,"[0.2272585978301349, 0.17929180681996248, 0.2571727872263284, 0.16364245763941598, 0.15920024723818216, 0.2954925325970267, 0.2897519933449477, 0.2391963464183492, 0.21855019096622197, 0.20956727359317917]",500,TRAIN,0.38683059103185874,0.3976799192766632
topo,0,C,ACTIVITY,SVR,"[0.5064449050359339, 0.5058940070386073, 0.4872133312633765, 0.4922135773443753, 0.44268371247959737, 0.5501136529837649, 0.48815255464394536, 0.5049428080230018, 0.5006034368317497, 0.47797261021444226]",0.4956234595858794,"[0.23347900244943665, 0.234899934597115, 0.2592495811694503, 0.23253886480606034, 0.429058653990656, 0.15177695887260234, 0.26471823730775834, 0.1781218718487414, 0.2650382486263565, 0.36484877981003894]",500,TRAIN,0.4875266943583508,0.5037202248134081
topo,0,C,ACTIVITY,MLP,"[0.4882799518539498, 0.6422577086088225, 0.4567790273207468, 0.5419606834615693, 0.6223425638796094, 0.4882535135733096, 0.49468177166662175, 0.5191048015862203, 0.6077420772707388, 0.5456915418129703]",0.5407093641034559,"[0.18747095136696246, 0.046382185094660855, 0.29461359296086553, 0.20517619672247578, 0.021011594569610215, 0.2478724916550865, 0.21159079250571267, 0.12770739344330195, 0.12651082403317804, 0.1866746306758803]",500,TRAIN,0.5215714761713649,0.559847252035547
topo,0,C,GROWTH,MLR,"[0.6558641698515675, 0.6910334554496522, 0.7393806391647916, 0.7062359105769384, 0.6423452038760706, 0.7038231432466133, 0.7372127083762183, 0.766472005819019, 0.6418044510244162, 0.7630650975847452]",0.7047236784970032,"[-0.682434838928492, 0.040121143246292346, -0.3789704403136265, -0.7957410520624293, -0.6540852214459489, -0.25394973125628995, 0.5637979142746052, -0.1915200367291412, -1.1714083280748224, -0.7135743197065723]",50,TRAIN,0.6906166256591489,0.7188307313348575
topo,0,C,GROWTH,RF,"[0.9602924854155422, 0.948004826244298, 0.9292534941751678, 0.9302979838871946, 0.9048271962302681, 0.9426731343256579, 0.9294083754791311, 0.9550074057033995, 0.9405421643510816, 0.9586663727777349]",0.9398973438589476,"[0.3485067763450389, 0.2871115345011245, -0.3172412610489077, -0.15949415130611722, 0.32819503106070913, -0.8551376374278552, -0.5707462712110436, -0.042454323930674054, 0.04287122785328401, 0.547529403593603]",50,TRAIN,0.9347828768762111,0.9450118108416842
topo,0,C,GROWTH,SVR,"[0.7465246443265591, 0.5846175619960525, 0.7015548982227495, 0.5499425104011617, 0.7519335543604214, 0.7536129935175364, 0.6470612006814354, 0.7586305213964339, 0.603593982445054, 0.6183183506098027]",0.6715790217957207,"[0.15264586691035287, -0.06100807991748103, -0.14495693689853995, -1.925948371872328, 0.23223134106404508, 0.39015840464770113, -0.4108070927726801, -0.031205535612679247, 0.02780581401912008, -0.248972427592139]",50,TRAIN,0.6475587572000527,0.6955992863913887
topo,0,C,GROWTH,MLP,"[-9.066654094169735e-10, -3.504208034854628e-10, 3.567886253108554e-08, -2.441602831027012e-08, -2.6058305069298626e-08, 3.973384810063152e-08, 1.1199160487862514e-09, -1.0357816959682964e-07, 4.4637809581971055e-07, -4.3513460834532225e-08]",3.240876724763808e-08,"[-0.1785790334400148, -0.04480695594462358, -0.39840507550912174, -0.028573541394839808, -0.12350134737585905, -0.48600460796129563, -0.024847837705055387, -0.02099740277298001, -0.00026330973277022274, -0.40973627745712116]",50,TRAIN,-1.2923463851231532e-08,7.774099834650769e-08
topo,0,C,GROWTH,MLR,"[0.6165079592665392, 0.5441401114480146, 0.6350683113441472, 0.4080619810510897, 0.5761912189507921, 0.5380468640112746, 0.5505565070672116, 0.5215960199869139, 0.557729863678075, 0.6541447605164585]",0.5602043597320516,"[0.01631111300196686, 0.33600573031134506, 0.016924385578214185, 0.19612120284946366, 0.5948361167702019, 0.29581348288121134, 0.012096655496843134, 0.1325107344723474, 0.3148238145469756, -0.4038778997580863]",100,TRAIN,0.5393858075949262,0.5810229118691771
topo,0,C,GROWTH,RF,"[0.6992062779194212, 0.7315858588783333, 0.7798095136536323, 0.7586506685711719, 0.7767489708584195, 0.80416303322955, 0.7834231214808914, 0.7966663160077789, 0.808522988145268, 0.7813115111542679]",0.7720088259898734,"[0.27395977510197667, 0.4385393726135305, 0.13830619384037635, -0.19080353941291373, 0.008439582060958961, 0.1672641784642389, 0.3372403948456003, 0.2148090391171159, 0.4225151929020683, -0.07607353591081845]",100,TRAIN,0.7618166808110575,0.7822009711686894
topo,0,C,GROWTH,SVR,"[0.5611704440816577, 0.5971374476994571, 0.6389085150735806, 0.6365404389963119, 0.5703167730352317, 0.7021979810485182, 0.5802357109486818, 0.5125802008681729, 0.5174450707158424, 0.6101690272712132]",0.5926701609738668,"[0.47270188263818813, 0.17878177569795461, -0.15420595259813608, 0.06972233745925616, 0.1521180800982811, 0.15750075889117954, 0.3943982739245454, 0.4671468753035498, 0.3708971801308739, 0.32518098817296026]",100,TRAIN,0.5753194161470832,0.6100209058006505
topo,0,C,GROWTH,MLP,"[-8.388969341410757e-08, -1.2574360885864166e-08, 2.51177384780199e-07, 5.572589931723826e-07, 0.3563094320908854, -3.85142686631923e-08, 2.4669465581439454e-08, 0.34318962490091487, -1.8774381160824305e-08, 3.167188278307975e-08]",0.06994997680168225,"[-0.013198007326108652, -0.0009339843312416996, -0.029110011741403152, -0.09265672837196104, -0.015738457390541027, -0.00019846940408863034, -0.07458258907633519, -0.07661986261195586, -0.024048058437676323, -0.005312979886220148]",100,TRAIN,0.025700057311203464,0.11419989629216103
topo,0,C,GROWTH,MLR,"[0.447334628266604, 0.4509053861173814, 0.43294509437046913, 0.47042267073650557, 0.47975865119237815, 0.4783323207919786, 0.49244348666984217, 0.45802479222537684, 0.5103347898705377, 0.41653711873110033]",0.4637038938972175,"[0.348973049744868, 0.09072717979416645, 0.12019238048500835, 0.10743347806547854, -0.46078783525523903, 0.13108624718379192, 0.21162506330469066, 0.2102866258000876, 0.16760512904818858, 0.15613444109460461]",150,TRAIN,0.4552468802388261,0.4721609075556089
topo,0,C,GROWTH,RF,"[0.6972104176583722, 0.6684873101693747, 0.7041347414360829, 0.6494545221637229, 0.6962172301211507, 0.6675386986783178, 0.755989055744212, 0.737556542677299, 0.6945325865263234, 0.6734049035086881]",0.6944526008683544,"[0.019038646513668933, 0.24862354704008727, 0.19323318369912268, 0.2765568174449282, 0.1341045989373164, 0.22351099966015098, -0.04526271106319801, 0.09483834659262846, 0.1623002352966465, 0.0026782193418097844]",150,TRAIN,0.6846467139145328,0.7042584878221759
topo,0,C,GROWTH,SVR,"[0.6029897356520559, 0.6470344272511934, 0.6664218758848581, 0.5487153365306945, 0.5313713339395562, 0.4586799583278832, 0.6466961841863148, 0.5614605005318045, 0.6052531042125211, 0.6520404758882835]",0.5920662932405165,"[0.24783636587754942, 0.07110619377626148, 0.30354664376625173, 0.12345220828205739, 0.2271543730285035, 0.1868150493629781, 0.14811852688153482, 0.2123922031326715, 0.028495341900490967, -0.08188021885769547]",150,TRAIN,0.572137268679666,0.6119953178013671
topo,0,C,GROWTH,MLP,"[-1.467537069643754e-08, -6.901344673515553e-08, 4.951479509740508e-07, 6.775334404629518e-09, 1.0401890681022152e-06, 3.2024196627844503e-08, 4.88213336424792e-09, 0.24370632332864328, -3.511664758981681e-08, -3.0972753917168916e-08]",0.02437077525691078,"[-0.003077545025881534, -0.002131083649184795, -0.0364275568910728, -0.00031114710616120256, -0.008282844324601246, 1.0962482255294503e-08, -0.0008202927718099495, 0.017977895311757974, -0.0006100570357951973, -0.008727151654793763]",150,TRAIN,0.0012507784650701535,0.047490772048751406
topo,0,C,GROWTH,MLR,"[0.40663101910552, 0.2958312781521113, 0.4043804295814667, 0.4797615791046287, 0.35835860914999185, 0.3834114258575938, 0.32765518159581253, 0.4588742643147744, 0.46568995984621064, 0.45323479638159925]",0.4033828543089709,"[-0.03954972511449828, 0.31287421218099354, 0.2897998848833494, 0.21740215332122792, 0.2812298759634487, 0.2718524574619129, -1.3113013528734285, 0.28755018823012723, 0.16032006813712285, 0.32306700785319165]",200,TRAIN,0.38466922131039083,0.422096487307551
