Unnamed: 0,SVR,set,MLR,RF,MLP
27,0.8973728093467398,test,0.8140340219515355,0.8338143346152702,0.8037859349921899
28,0.7048340021570226,train,0.7691643001150921,0.6786095922179186,0.7008919047639103
29,0.5039212197864448,train,0.35775579557590403,0.6602849984438578,0.3137478092706668
30,0.7550270375246871,train,0.7132839009495859,0.6920834154227169,0.7620409337839212
31,0.8268394528412323,test,0.8265478945636864,0.6495302338597926,0.8044727171526387
32,0.7213464456160402,train,0.5222857805503429,0.6346444860438111,0.5334004994712735
33,0.7862421262333129,train,0.7135256972246956,0.6722839357028789,0.6897720976089273
34,0.3449539553908615,test,0.38139251403785257,0.6879962853768407,0.3781062324903579
35,0.8017371286585814,train,0.6772838177710114,0.7413646278977868,0.668863492326035
36,0.5494910114968953,train,0.3987005190596191,0.642799980725996,0.35487768795191993
37,0.9491416736345,train,0.9007494530696708,0.8763078969436948,0.8928382911401791
38,0.9073819220897776,train,0.7598524585641734,0.6472213999333878,0.6922682981505168
39,0.7254074578927409,train,0.6991525107774085,0.8278941958137169,0.6716302316465881
40,0.8390179334858076,train,0.6488909987827473,0.680719768851324,0.5871198999034516
41,0.8821441281911998,train,0.7556042211546039,0.7713238765257795,0.7100320204749201
42,0.7930221682743493,train,0.7000603783531716,0.6346444860438111,0.7225805198380244
43,0.8710425042405646,train,0.7455917116503447,0.642799980725996,0.7777182629109414
44,0.9247742083883579,train,0.8034824449967225,0.7665827811237174,0.7609657220433871
45,0.6416511611062049,train,0.5226421495668516,0.6495655327682579,0.5200950431946469
46,0.7521925065437444,train,0.6184936112902762,0.6346444860438111,0.572729827209657
47,0.9205348969453674,test,0.8829149682752542,0.7207247567290429,0.8835981555953899
48,0.7423294687253141,test,0.6228666803610976,0.642799980725996,0.6002481898847398
49,0.8355080135956762,test,0.7508598428202665,0.6346444860438111,0.7270932494976171
50,0.8206965978603776,train,0.6934077421686674,0.693748620276463,0.7076429785633235
51,0.9272515825083452,train,0.7917255766897501,0.7493643240615911,0.8356989873021456
52,0.781701675956684,test,0.5941295401244187,0.7196100610960696,0.581602250671317
53,0.8467988906036169,test,0.6312499198903014,0.7094298983662691,0.5459715424335169
54,0.8250248801653314,train,0.7554214481413909,0.6346444860438111,0.7215184385476455
55,0.9122624225385249,train,0.7618692908193015,0.8410156180664113,0.7511868596698061
56,0.7959951910340536,train,0.6006658118074777,0.7098112187995262,0.5559659376536572
57,0.956887694193776,train,0.8490763706088723,0.8393340107232392,0.8484456022185799
58,0.7423148100727005,test,0.5915161539185704,0.6619516918467221,0.5956403975455281
59,0.7013223143724098,test,0.5780646094161367,0.6346444860438111,0.5456042526145287
60,0.7002303995278091,test,0.5814505104642074,0.6346444860438111,0.5496756658949193
61,0.9230719138189928,train,0.8030234103738972,0.8819965898283254,0.8425555301312703
62,0.8237414627238643,train,0.6905607350364481,0.6625393771465233,0.6642665535774457
63,0.7573843258949694,train,0.6369320973462417,0.6346444860438111,0.6258669049980358
64,0.7626054972076958,train,0.6253665411734324,0.642799980725996,0.6162557723499106
65,0.6024893751629975,train,0.482881530669115,0.6346444860438111,0.4452461677320572
66,0.8333198161002159,test,0.7406208146106921,0.6346444860438111,0.7406372058770091
