,model_type,n,alpha,l1_ratio,max_iter,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,C,epsilon,kernel,activation,hidden_layer_sizes,solver
5eb06d16-0e43-43b9-85c9-3788b46f3314,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(50,)",lbfgs
d9e6d747-ceeb-479a-b465-d1675990f9f2,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(50, 25)",lbfgs
6564e33f-8e62-412e-a04a-b32aacae6ba8,MLP,500,0.00010000000000000009,,1000.0,,,,,,,,,,relu,"(50, 50)",lbfgs
b16d448c-3a4b-40e3-a04c-3cb4c47896a6,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(5,)",lbfgs
a54c7a64-fb7e-4004-baeb-734a9ae566da,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(5, 5)",lbfgs
98df2bb8-c506-4277-aeb1-f21968de2e1d,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(5, 10)",lbfgs
31c530a6-5f58-426e-8dc2-3f32fd75a6c0,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(25,)",lbfgs
70fd5373-2311-4371-86a9-908dfe43664f,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(25, 25)",lbfgs
fcaf42ff-072e-46ed-a980-d4ccdb26bf1c,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(25, 50)",lbfgs
3355a38e-5ffb-425c-91b5-d266f308cb87,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(50,)",lbfgs
615f14af-9a95-4626-9c0f-a5da419054b6,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(50, 25)",lbfgs
38dab434-7437-4496-8059-e7c4a625822d,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,identity,"(50, 50)",lbfgs
7473e315-d84d-40cd-943e-a27f266c1db2,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(5,)",lbfgs
a350544d-4d20-43f3-8303-4159679238fe,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(5, 5)",lbfgs
7cc94d36-d6ec-4c33-aa94-92d05ff12f8b,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(5, 10)",lbfgs
f4a737e6-c59d-4af3-8a09-6dd55dc8ad42,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(25,)",lbfgs
955d881e-6a14-4fb1-b294-19d91fcba2a2,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(25, 25)",lbfgs
dd6dd7dc-ba0a-4d9c-a012-e154a0874bde,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(25, 50)",lbfgs
fef7c2a3-64dd-4b5c-a46a-6deaadb8f626,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(50,)",lbfgs
0ac1ae30-55e8-463f-a1cc-61760df83fbb,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(50, 25)",lbfgs
eeb0306c-ee01-4f68-a11e-d60af262ead4,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,logistic,"(50, 50)",lbfgs
2c7ea54f-5a7b-4f0c-a874-1143f264982f,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(5,)",lbfgs
4f88f39e-a5d7-4f37-939b-c8c39e87f2d2,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(5, 5)",lbfgs
bf07ca0e-395c-4d73-8ab2-3969734e4fb9,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(5, 10)",lbfgs
48accf1d-220d-427a-a611-1dbbf9c805c7,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(25,)",lbfgs
4c89d019-c973-4866-9719-bf689bb7f908,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(25, 25)",lbfgs
afe18f85-1936-4015-8b21-194c378114f6,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(25, 50)",lbfgs
45323df3-d601-42ec-9a58-fe28fe32fcdb,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(50,)",lbfgs
afe0ca31-4170-4336-8367-331b25b5b0f5,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(50, 25)",lbfgs
3f704d3f-b955-4452-98e1-61cf1b88396d,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,tanh,"(50, 50)",lbfgs
85bc70a0-aeec-4021-af91-5aca7d81a90c,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(5,)",lbfgs
80ee9227-051d-431e-a23a-aca181036e5f,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(5, 5)",lbfgs
c5698ef7-b054-441a-8d35-743b0be2cd1f,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(5, 10)",lbfgs
3e144ebc-1b27-4bd9-a4d1-413aa105509b,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(25,)",lbfgs
69d61478-e570-462b-8127-74e31207189f,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(25, 25)",lbfgs
3f5f74c3-11a8-40d7-9b50-908012045852,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(25, 50)",lbfgs
c449f68f-4c1c-48c4-b3d4-1fbace5d5e31,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(50,)",lbfgs
ec385f5f-620b-4c96-ab82-7429455f4475,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(50, 25)",lbfgs
fbb2462d-9060-45b2-a1c4-875e060d81d2,MLP,500,0.010000000000000004,,1000.0,,,,,,,,,,relu,"(50, 50)",lbfgs
40fde7ff-7b6b-46a7-865d-38742010a20c,MLP,500,0.10000000000000006,,1000.0,,,,,,,,,,identity,"(5,)",lbfgs
2fa07c33-528d-4391-a949-fa0ddf9c9125,MLP,500,0.10000000000000006,,1000.0,,,,,,,,,,identity,"(5, 5)",lbfgs
dadb440d-34c3-4f2c-8143-1eb55581a60f,MLP,500,0.10000000000000006,,1000.0,,,,,,,,,,identity,"(5, 10)",lbfgs
