context,set,feature,response,timepoint,y_true,model,y_pred
C,train,topo,ACTIVITY,8,1.0,SVR,0.9754842012526465
C,train,topo,ACTIVITY,8,1.0,SVR,0.9679626169272488
C,train,topo,ACTIVITY,8,0.2207792207792207,SVR,0.9649768304217456
C,train,topo,ACTIVITY,8,0.6631578947368422,SVR,0.9632153182420864
C,test,topo,ACTIVITY,8,1.0,SVR,0.9645195439032132
C,train,topo,ACTIVITY,8,1.0,SVR,0.9704057001319536
C,test,topo,ACTIVITY,8,1.0,SVR,0.9714617252516132
C,train,topo,ACTIVITY,8,1.0,SVR,0.9777015956018767
C,test,topo,ACTIVITY,8,0.7777777777777777,SVR,0.963389559473404
C,train,topo,ACTIVITY,8,0.6533333333333333,SVR,0.9871136434507886
C,train,topo,ACTIVITY,8,1.0,SVR,0.9686813885515556
C,train,topo,ACTIVITY,8,1.0,SVR,0.9683178634531684
C,train,topo,ACTIVITY,8,1.0,SVR,0.9760898311118263
C,train,topo,ACTIVITY,8,1.0,SVR,0.9649655474948932
C,test,topo,ACTIVITY,8,1.0,SVR,0.9728461355230476
C,train,topo,ACTIVITY,8,1.0,SVR,0.9684163187540538
C,train,topo,ACTIVITY,8,1.0,SVR,0.9723105448800079
C,test,topo,ACTIVITY,8,1.0,SVR,0.9796046818066326
C,train,topo,ACTIVITY,8,1.0,SVR,0.9891704226467992
C,test,topo,ACTIVITY,8,1.0,SVR,0.983915004482304
C,test,topo,ACTIVITY,8,1.0,SVR,0.9682322439880604
C,train,topo,ACTIVITY,8,1.0,SVR,0.9783853883545728
C,test,topo,ACTIVITY,8,0.935483870967742,SVR,0.9608473090259492
C,test,topo,ACTIVITY,8,0.9245283018867924,SVR,0.9872381799764921
C,test,topo,ACTIVITY,8,1.0,SVR,0.9653797937531065
C,train,topo,ACTIVITY,8,1.0,SVR,0.976780736109026
C,train,topo,ACTIVITY,8,1.0,SVR,0.998231113664664
C,test,topo,ACTIVITY,8,1.0,SVR,0.9715305686520476
C,train,topo,ACTIVITY,8,1.0,SVR,0.9766637305136124
C,train,topo,ACTIVITY,8,1.0,SVR,0.975192516241135
C,train,topo,ACTIVITY,8,0.8604651162790697,SVR,0.9602535661777178
C,test,topo,ACTIVITY,8,1.0,SVR,0.962416622869446
C,train,topo,ACTIVITY,8,1.0,SVR,0.9547921123712784
C,train,topo,ACTIVITY,8,1.0,SVR,0.9747077788842288
C,train,topo,ACTIVITY,8,1.0,SVR,0.9678906135501232
C,test,topo,ACTIVITY,8,1.0,SVR,0.988128919887492
C,test,topo,ACTIVITY,8,0.1739130434782609,SVR,0.9669188937874812
C,test,topo,ACTIVITY,8,1.0,SVR,0.9688485575094656
C,train,topo,ACTIVITY,8,1.0,SVR,0.981355589742213
C,train,topo,ACTIVITY,8,1.0,SVR,0.9970436859059132
C,train,topo,ACTIVITY,8,1.0,SVR,0.9715556136564114
C,train,topo,ACTIVITY,8,1.0,SVR,0.978978197805537
C,train,topo,ACTIVITY,8,1.0,SVR,0.9680058272168052
C,train,topo,ACTIVITY,8,0.968253968253968,SVR,0.987216050416814
C,train,topo,ACTIVITY,8,1.0,SVR,0.9773717982022329
C,train,topo,ACTIVITY,8,1.0,SVR,0.989271344988408
C,test,topo,ACTIVITY,8,1.0,SVR,0.9755981702461279
C,train,topo,ACTIVITY,8,1.0,SVR,0.981060903284904
C,train,topo,ACTIVITY,8,1.0,SVR,0.9843298985819384
C,train,topo,ACTIVITY,8,1.0,SVR,0.9685097652140991
C,train,topo,ACTIVITY,8,0.6438356164383561,SVR,0.9648648926125941
C,train,topo,ACTIVITY,8,1.0,SVR,0.9735772155997447
C,train,topo,ACTIVITY,8,1.0,SVR,0.989315621771702
C,train,topo,ACTIVITY,8,1.0,SVR,0.9693351042307424
C,train,topo,ACTIVITY,8,1.0,SVR,0.9684875239481894
C,train,topo,ACTIVITY,8,0.5625,SVR,0.9644988248987084
C,train,topo,ACTIVITY,8,0.3,SVR,0.9498529609094444
C,train,topo,ACTIVITY,8,1.0,SVR,0.9792524014591484
C,train,topo,ACTIVITY,8,0.9722222222222224,SVR,0.9963855735736384
C,train,topo,ACTIVITY,8,1.0,SVR,0.9758714640393772
C,train,topo,ACTIVITY,8,1.0,SVR,0.9683095115630259
C,train,topo,ACTIVITY,8,1.0,SVR,0.9766066839611564
C,train,topo,ACTIVITY,8,1.0,SVR,0.9756434129465872
C,test,topo,ACTIVITY,8,0.8235294117647058,SVR,0.9768983217494434
C,train,topo,ACTIVITY,8,1.0,SVR,0.9850986559193284
C,train,topo,ACTIVITY,8,1.0,SVR,0.9635627518043944
C,train,topo,ACTIVITY,8,1.0,SVR,0.9708872531505844
C,test,topo,ACTIVITY,8,1.0,SVR,0.9643673111492266
C,train,topo,ACTIVITY,8,1.0,SVR,0.9763862012249458
C,train,topo,ACTIVITY,8,0.8571428571428572,SVR,0.975353155112364
C,train,topo,ACTIVITY,8,1.0,SVR,0.9729808549945512
C,test,topo,ACTIVITY,8,1.0,SVR,0.9830950526699294
C,test,topo,ACTIVITY,8,1.0,SVR,0.970199268522384
C,train,topo,ACTIVITY,8,0.368421052631579,SVR,0.9574866077367634
C,train,topo,ACTIVITY,8,1.0,SVR,0.9938575567227216
C,train,topo,ACTIVITY,8,1.0,SVR,0.9709969823351212
C,train,topo,ACTIVITY,8,1.0,SVR,0.9915840901552446
C,train,topo,ACTIVITY,8,1.0,SVR,0.9731261721613595
C,test,topo,ACTIVITY,8,1.0,SVR,0.9944199560780528
C,train,topo,ACTIVITY,8,1.0,SVR,0.9741155441258744
C,test,topo,ACTIVITY,8,1.0,SVR,0.9742812274411232
C,train,topo,ACTIVITY,8,1.0,SVR,0.9799388595594164
C,train,topo,ACTIVITY,8,1.0,SVR,0.9906084399209848
C,train,topo,ACTIVITY,8,1.0,SVR,0.9856759423978528
C,train,topo,ACTIVITY,8,1.0,SVR,0.9761096094963602
C,test,topo,ACTIVITY,8,0.92,SVR,0.964487856907274
C,test,topo,ACTIVITY,8,1.0,SVR,0.9953617923111208
C,train,topo,ACTIVITY,8,0.7916666666666667,SVR,0.9769487174763434
C,train,topo,ACTIVITY,8,1.0,SVR,0.968508987251928
C,train,topo,ACTIVITY,8,1.0,SVR,0.9821506773534914
C,train,topo,ACTIVITY,8,1.0,SVR,0.9685819988820068
C,train,topo,ACTIVITY,8,0.9130434782608696,SVR,0.9669239223445684
C,train,topo,ACTIVITY,8,1.0,SVR,0.9799546745560176
C,train,topo,ACTIVITY,8,1.0,SVR,0.9699006609840506
C,train,topo,ACTIVITY,8,0.6744186046511629,SVR,0.9592192091356448
C,train,topo,ACTIVITY,8,1.0,SVR,0.968601203750131
C,train,topo,ACTIVITY,8,1.0,SVR,0.9680295397535216
C,train,topo,ACTIVITY,8,1.0,SVR,0.9700294729424908
C,train,topo,ACTIVITY,8,1.0,SVR,0.9698180303304936
C,train,topo,ACTIVITY,8,1.0,SVR,0.9684605986938006
C,train,topo,ACTIVITY,8,1.0,SVR,0.9727020578043888
C,train,topo,ACTIVITY,8,1.0,SVR,0.9749233443518132
C,train,topo,ACTIVITY,8,1.0,SVR,0.9781298353788
C,test,topo,ACTIVITY,8,0.8823529411764706,SVR,0.9593451404740296
C,train,topo,ACTIVITY,8,1.0,SVR,0.9768104723757656
