context,response,model,pvalues
CH,ACTIVITY,MLR,"[0.9406009062635887, 0.9897978930300176, 0.9541167486895068, 0.8090463442482145, 0.40329128917444124, 0.9977478777266143, 0.975365601983436, 0.9587366132649573, 0.6642519806557495, 0.5150484515362916, 0.9714962642234003, 0.8021188791694249, 0.8720083943065973, 0.4650445542249275, 0.7764105023727963]"
CH,ACTIVITY,RF,"[0.6764239081155091, 0.9283554733782791, 0.9988599076221033, 0.749587679683863, 0.910368311752867, 0.44951401602841323, 0.9168519963738491, 0.8726414407296063, 0.6179226159065959, 0.8739306194929817, 0.7195441929465314, 0.9656372104497437, 0.3551867815163142, 0.6243741507440914, 0.09023407106678794]"
CH,ACTIVITY,SVR,"[0.9677587740583389, 0.34486541093906986, 0.47530413081171563, 0.31368622921411426, 0.17363987763818578, 0.8064052489556464, 0.5174989726294293, 0.021300093966352573, 0.18354866205190146, 0.7336600321945212, 0.34233936861433156, 0.14916502251744368, 0.022918154069921703, 0.030337937271706195, 0.20253405792655588]"
CH,ACTIVITY,MLP,"[0.9168597749292815, 0.9745129731736594, 0.8710092517877592, 0.9507434274554827, 0.9962852564001772, 0.8818394172775572, 0.7634568330727627, 0.9773708750117236, 0.9979025062424351, 0.7854494066138908, 0.9965501632022202, 0.7930474532275891, 0.9905105761709843, 0.422398395758542, 0.6695280251535662]"
CH,GROWTH,MLR,"[0.09352734381953387, 0.0008336412932102855, 4.771919855928175e-05, 0.0011532365966258062, 6.776326611668271e-05, 4.342303131588121e-05, 9.282502507834689e-05, 0.00011468205405484877, 5.77243303179209e-06, 1.3062268744423733e-07, 7.231215626291032e-11, 6.487584247594214e-09, 1.9390711258893134e-10, 3.503863865716994e-13, 3.3306690738754696e-16]"
CH,GROWTH,RF,"[0.65309493876873, 0.7055172712208982, 0.8976359116559787, 0.4394718238723466, 0.37222855567328983, 0.836914168173147, 0.6330257278381495, 0.2440831268075041, 0.15636544344382486, 0.05170773101365711, 0.1938180677449335, 0.005782517586606972, 0.00028694374445414894, 0.0487501039438909, 6.243805484973386e-06]"
CH,GROWTH,SVR,"[0.9961552087223309, 0.5265527861989839, 0.1965470111691927, 0.570384379185205, 0.18184630600409102, 0.2913891230226202, 0.014255554596248055, 0.012709236664881773, 0.030030386581289092, 0.0036288257458881867, 7.158169168963724e-06, 1.7029777628074783e-05, 1.3838065528348764e-05, 1.9046281890533479e-06, 1.254450987531186e-09]"
CH,GROWTH,MLP,"[0.09771050734171949, 0.1810136757480454, 0.4179403129023027, 0.07853133404312218, 0.015909537020002307, 0.0024123275039362735, 0.003862019311869691, 0.008114016872159513, 0.0035255656768625743, 0.00019214226570685167, 4.7170070233026884e-05, 9.971079695825225e-05, 2.934005042587451e-06, 0.00023402792165172492, 4.984474388791682e-09]"
CH,SYMMETRY,MLR,"[0.9963788062606642, 0.5895564985141224, 0.9990583925813262, 0.11274899968450369, 0.3856510306099742, 0.24220018958914002, 0.0001521513917337458, 0.008721180736685596, 0.01816332970021195, 0.00011836317027669185, 4.5506720061538886e-05, 6.782993409171212e-07, 3.054743030750373e-07, 1.595523713149305e-11, 3.2862601528904634e-14]"
CH,SYMMETRY,RF,"[0.8498102244323553, 0.1474546481168375, 0.3095518309425884, 0.10017408203385736, 0.2844506120443574, 0.45564380108856917, 0.02336961767467083, 0.2260526620051292, 0.009862484231459079, 0.40289628523572885, 0.09783478905740872, 0.002673147107112195, 3.051749434268558e-07, 5.4022820627164236e-05, 2.839166488577405e-07]"
CH,SYMMETRY,SVR,"[0.9716640444648, 0.9471579510022063, 0.9999670484728436, 0.2522747387216281, 0.21378368272447779, 0.11704915414939576, 0.3589193075445556, 0.05475870106845726, 0.004774672769486621, 0.0013155403538650523, 0.006226567801371097, 6.7347456044197784e-06, 4.35069847259939e-07, 6.47108749918246e-08, 3.5129676945189203e-12]"
CH,SYMMETRY,MLP,"[0.9670243543894125, 0.7258900273895509, 0.8734691423534067, 0.10132808854261377, 0.02325310479274767, 0.031272589834527076, 0.018571635991624036, 0.00046057610283711803, 0.00013433957383091055, 0.002190844150694482, 9.136663749487184e-05, 8.597094729667631e-06, 1.8143751057131396e-07, 6.006306563222097e-14, 0.0]"
